//type	index	red	green	blue
10	100	204	216	229
10	101	204	216	229
10	102	204	216	229
10	103	204	216	229
10	104	204	216	229
10	105	204	216	229
10	106	255	146	76
10	107	255	146	76
10	108	255	146	76
10	109	255	146	76
10	110	255	146	76
10	111	255	146	76
10	112	255	146	76
10	113	255	146	76
10	114	255	146	76
10	115	204	216	229
10	116	204	216	229
10	117	204	216	229
10	118	204	216	229
10	119	204	216	229
10	120	204	216	229
10	121	204	216	229
10	122	204	216	229
10	123	204	216	229
10	124	204	216	229
10	125	204	216	229
10	126	204	216	229
10	127	204	216	229
10	128	204	216	229
10	129	204	216	229
10	130	255	51	0
10	131	0	127	255
10	132	255	255	255
10	133	229	204	255
10	134	119	170	153
10	135	178	76	76
10	136	204	102	0
10	138	140	140	191
10	139	76	76	204
10	140	178	153	140
10	141	204	127	178
10	142	114	96	51
10	143	102	153	132
10	144	178	153	102
10	145	165	127	51
10	146	89	165	255
10	147	229	178	114
10	148	127	178	255
10	149	216	153	153
10	150	122	147	99
10	151	122	147	99
10	152	122	147	99
10	153	122	147	99
10	154	122	147	99
10	155	122	147	99
10	156	122	147	99
10	157	122	147	99
11	1	255	51	0
11	3	0	127	255
11	4	255	255	255
11	6	153	204	102
11	7	204	178	102
11	9	0	127	255
11	12	0	127	255
11	13	0	204	102
11	14	255	255	255
11	15	229	204	255
11	16	191	165	127
11	17	127	127	204
11	18	255	255	255
11	19	127	127	204
11	20	127	127	204
11	21	204	117	63
11	22	165	114	76
11	23	89	89	153
11	24	204	117	63
11	25	89	89	153
11	26	119	170	153
11	27	191	165	127
11	28	51	76	153
11	29	127	102	76
11	30	94	94	255
11	31	76	178	76
11	32	127	102	255
11	33	114	114	58
11	34	153	127	51
11	35	153	153	153
11	36	76	178	76
11	37	127	153	178
11	38	114	114	58
11	39	51	178	76
11	40	178	76	76
11	41	178	127	76
11	42	127	51	178
11	43	204	102	153
11	44	153	102	204
11	45	127	127	178
11	46	204	102	0
11	47	178	127	178
11	48	255	51	0
11	49	178	102	102
11	50	76	153	102
11	51	178	51	51
11	52	127	127	178
11	53	178	51	51
11	54	204	216	229
11	55	229	0	0
11	56	153	204	102
11	57	229	0	0
11	58	0	127	255
11	59	204	117	63
11	60	204	102	0
11	61	127	102	76
11	73	127	204	229
11	74	204	153	51
11	75	165	76	63
11	76	204	216	229
11	77	255	229	153
11	78	255	51	0
11	79	0	127	255
11	80	255	255	255
11	81	89	89	153
11	82	178	76	76
11	83	204	117	63
11	91	102	178	255
11	92	127	204	165
11	93	229	204	255
11	94	191	255	153
11	95	127	76	25
11	98	204	216	229
11	99	204	216	229
11	100	204	216	229
11	101	204	216	229
11	102	204	216	229
11	103	204	216	229
11	104	204	216	229
11	105	204	216	229
11	106	255	146	76
11	107	255	146	76
11	108	255	146	76
11	109	255	146	76
11	110	255	146	76
11	111	255	146	76
11	112	255	146	76
11	113	255	146	76
11	114	255	146	76
11	115	204	216	229
11	116	204	216	229
11	117	204	216	229
11	118	204	216	229
11	119	204	216	229
11	120	204	216	229
11	121	204	216	229
11	122	204	216	229
11	123	204	216	229
11	124	204	216	229
11	125	204	216	229
11	126	204	216	229
11	127	204	216	229
11	128	204	216	229
11	129	204	216	229
11	130	255	51	0
11	131	0	127	255
11	132	255	255	255
11	133	229	204	255
11	134	119	170	153
11	135	178	76	76
11	136	204	102	0
11	138	140	140	191
11	139	76	76	204
11	140	178	153	140
11	141	204	127	178
11	142	114	96	51
11	143	102	153	132
11	144	178	153	102
11	145	165	127	51
11	146	89	165	255
11	147	229	178	114
11	148	127	178	255
11	149	216	153	153
11	150	122	147	99
11	151	122	147	99
11	152	122	147	99
11	153	122	147	99
11	154	122	147	99
11	155	122	147	99
11	156	122	147	99
11	157	122	147	99
12	14	0	127	255
12	414	181	131	69
12	415	212	200	170
12	416	255	166	124
12	417	204	190	151
12	418	61	112	255
12	419	255	20	20
12	420	181	137	139
12	421	195	127	125
12	438	181	131	69
12	439	212	200	170
12	440	255	166	124
12	441	204	190	151
12	442	61	112	255
12	443	255	20	20
12	444	181	137	139
12	445	193	127	125
14	25	0	127	255
14	26	0	127	255
