////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																
//	[ Text  Version ]		1.0.0.8																													
//	[ 최종 작업자 ]		설희원																													
//	[ 최종 작업일 ]		2011-10-13 21:53 PM																													
//	[ 작 업 내 용 ]		스크립트 확률 수정																													
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																
																																
// 보석 아이템 옵션 인덱스																																
// 각 아이템은 뒤에 추가 아이템 공간을 남겨두고 10 단위로 Index 표시																																
// Item Type : Item 스크립트 상의 아이템 종류 예, 0 검류~																																
// Item Index : Item 스크립트 상의 실제 아이템 																																
//Rank : 속성 보석 아이템의 랭크																																
//Option : 속성 보석 아이템의 랭크에 종속된 옵션																																
//0~10 강화 단계, 강화 단계별 옵션 수치 밸런싱																																
//Rate : 각 레벨업 단계 레벨업 강화 성공 확률.. 각 보석/ 각 랭크 단위로 계열 확률 동일하게 기록할 것.. 안그러면 오류남.																																
//Option Rate : 해당 랭크업 업그레이드 시, 해당 옵션이 붙을 확률																																
//각 레벨업 단계 레벨업 성공 확률. 10000율 기준																																
//Index	Type	Item Index	Rank Level	Option	Acpuisition_Rate	RON	0	Rate	1	Rate	2	Rate	3	Rate	4	Rate	5	Rate	6	Rate	7	Rate	8	Rate	9	Rate	10	Rate	옵션명	변수종류		
//81	12	231	4	2	5000	234	5	0	6	7500	7	7000	8	6500	10	6000	12	5500	14	5000	17	4500	20	4000	23	3500	27	3500	"Elemental Damage Absorb (in Raids) +%d%%"	1	//	"Errtel of Blessing" Rank 4
// Rank 5																																
//90	12	231	5	1	10000	243	3	0	4	7000	5	6500	6	6000	8	5500	10	5000	12	4500	15	4000	18	3500	21	3000	25	3000	"Elemental Damage Absorb +%d%%"	1	//	"Errtel of Blessing" Rank 5
// 시즌11-2 Beginners 에르텔 추가 (2016-02-23) 박혜진																																
251	12	232	1	14	10000	250	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Elemental Defense +%d"	0	//	"Beginners Errtel of Blessing"
// Errtel of Integrity ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																
// Rank 1																																
100	12	241	1	1	10000	301	5	0	6	9000	7	8500	8	8000	9	7500	10	7000	12	6500	14	6000	16	5500	18	5000	20	5000	"Elemental Attack Success Rate +%d%%"	1	//	"Errtel of Integrity"
// Rank 2																																
110	12	241	2	1	2000	311	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"+%d%% Attack Against Fire Element"	1	//	"Errtel of Integrity" Rank 2
111	12	241	2	2	2000	312	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"+%d%% Attack Against Water Element"	1	//	"Errtel of Integrity" Rank 2
112	12	241	2	3	2000	313	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"+%d%% Attack Against Earth Element"	1	//	"Errtel of Integrity" Rank 2
113	12	241	2	4	2000	314	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"+%d%% Attack Against Wind Element"	1	//	"Errtel of Integrity" Rank 2
114	12	241	2	5	2000	315	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"+%d%% Attack Against Dark Element"	1	//	"Errtel of Integrity" Rank 2
// Rank 3																																
120	12	241	3	1	5000	321	30	0	35	8000	43	7500	54	7000	66	6500	80	6000	97	5500	117	5000	142	4500	172	4000	207	4000	"Elemental Attack Dmg (in PvP) +%d"	0	//	"Errtel of Integrity" Rank 3
121	12	241	3	2	5000	322	30	0	35	8000	43	7500	54	7000	66	6500	80	6000	97	5500	117	5000	142	4500	172	4000	207	4000	"Elemental Attack Dmg (in Raids) +%d"	0	//	"Errtel of Integrity" Rank 3
// Unused Rank Option																																
//130	12	241	4	1	5000	331	30	0	35	9000	43	8500	54	8500	66	8500	80	8500	97	8500	117	8500	142	8500	172	8500	207	8500	"Ranged Elemental Attack Dmg (in PvP) +%d"	0	//	"Errtel of Integrity" Rank 4
//131	12	241	4	2	5000	332	30	0	35	9000	43	8500	54	8500	66	8500	80	8500	97	8500	117	8500	142	8500	172	8500	207	8500	"Melee Elemental Attack Dmg (in PvP) +%d"	0	//	"Errtel of Integrity" Rank 4
//140	12	241	5	1	5000	341	5	0	7	9000	9	8500	11	8500	13	8500	15	8500	18	8500	21	8500	24	8500	27	8500	30	8500	"Elemental Damage (in PvP) +%d%%"	1	//	"Errtel of Integrity" Rank 5
//141	12	241	5	2	5000	342	5	0	7	9000	9	8500	11	8500	13	8500	15	8500	18	8500	21	8500	24	8500	27	8500	30	8500	"Elemental Damage (in Raids) +%d%%"	1	//	"Errtel of Integrity" Rank 5
// Season 10-3 에르텔 4, 5 랭크 옵션 추가 (2015-04-01 홍승욱)																																
// Rank 4																																
//130	12	241	4	1	5000	333	270	0	300	7500	330	7000	360	6500	410	6000	460	5500	510	5000	570	4500	630	4000	690	3500	800	3500	"Elemental Attack Success Rate (in PVP) +%d"	0	//	"Errtel of Integrity" Rank 4
//131	12	241	4	2	5000	334	270	0	300	7500	330	7000	360	6500	410	6000	460	5500	510	5000	570	4500	630	4000	690	3500	800	3500	"Elemental Attack Success Rate (in Raids) +%d"	0	//	"Errtel of Integrity" Rank 4
// Rank 5																																
//140	12	241	5	1	10000	343	150	0	170	7000	190	6500	210	6000	240	5500	270	5000	300	4500	340	4000	380	3500	420	3000	500	3000	"Attack Success Rate +%d"	0	//	"Errtel of Integrity" Rank 5
// 시즌11-2 Beginners 에르텔 추가 (2016-02-23) 박혜진																																
252	12	242	1	14	10000	350	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Elemental Attack Success Rate +%d%%"	1	//	"Beginners Errtel of Integrity"
// Errtel of Divinity ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																
// Rank 1																																
150	12	251	1	1	10000	401	5	0	6	9000	7	8500	8	8000	9	7500	10	7000	12	6500	14	6000	16	5500	18	5000	20	5000	"Elemental Defense Success Rate +%d%%"	1	//	"Errtel of Divinity"
// Rank 2																																
160	12	251	2	1	2000	411	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"+%d%% Defense Against Fire Element"	1	//	"Errtel of Divinity" Rank 2
161	12	251	2	2	2000	412	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"+%d%% Defense Against Water Element"	1	//	"Errtel of Divinity" Rank 2
162	12	251	2	3	2000	413	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"+%d%% Defense Against Earth Element"	1	//	"Errtel of Divinity" Rank 2
163	12	251	2	4	2000	414	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"+%d%% Defense Against Wind Element"	1	//	"Errtel of Divinity" Rank 2
164	12	251	2	5	2000	415	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"+%d%% Defense Against Dark Element"	1	//	"Errtel of Divinity" Rank 2
// Rank 3																																
170	12	251	3	1	5000	421	10	0	13	8000	17	7500	22	7000	28	6500	35	6000	43	5500	52	5000	62	4500	73	4000	85	4000	"Elemental Defense (in PvP) +%d"	0	//	"Errtel of Divinity" Rank 3
171	12	251	3	2	5000	422	10	0	13	8000	17	7500	22	7000	28	6500	35	6000	43	5500	52	5000	62	4500	73	4000	85	4000	"Elemental Defense (in Raids) +%d"	0	//	"Errtel of Divinity" Rank 3
// Unused Rank Option																																
//180	12	251	4	1	5000	431	10	0	13	9000	17	8500	22	8500	28	8500	35	8500	43	8500	52	8500	62	8500	73	8500	85	8500	"Ranged Elemental Defense (in PvP) +%d"	0	//	"Errtel of Divinity" Rank 4
//181	12	251	4	2	5000	432	10	0	13	9000	17	8500	22	8500	28	8500	35	8500	43	8500	52	8500	62	8500	73	8500	85	8500	"Melee Elemental Defense (in PvP) +%d"	0	//	"Errtel of Divinity" Rank 4
//190	12	251	5	1	5000	441	5	0	7	9000	9	8500	11	8500	13	8500	15	8500	18	8500	21	8500	24	8500	27	8500	30	8500	"Elemental Damage Absorb (in PvP) %d%%"	1	//	"Errtel of Divinity" Rank 5
//191	12	251	5	2	5000	442	5	0	7	9000	9	8500	11	8500	13	8500	15	8500	18	8500	21	8500	24	8500	27	8500	30	8500	"Elemental Damage Absorb (in Raids) %d%%"	1	//	"Errtel of Divinity" Rank 5
// Season 10-3 에르텔 4, 5 랭크 옵션 추가 (2015-04-01 홍승욱)																																
// Rank 4																																
//180	12	251	4	1	5000	433	270	0	300	7500	330	7000	360	6500	410	6000	460	5500	510	5000	570	4500	630	4000	690	3500	800	3500	"Elemental Defense Success Rate (in PVP) +%d"	0	//	"Errtel of Divinity" Rank 4
//181	12	251	4	2	5000	434	270	0	300	7500	330	7000	360	6500	410	6000	460	5500	510	5000	570	4500	630	4000	690	3500	800	3500	"Elemental Defense Success Rate (in Raids) +%d"	0	//	"Errtel of Divinity" Rank 4
// Rank 5																																
//190	12	251	5	1	10000	443	150	0	170	7000	190	6500	210	6000	240	5500	270	5000	300	4500	340	4000	380	3500	420	3000	500	3000	"Elemental Defense Success Rate Increase %d"	0	//	"Errtel of Divinity" Rank 5
// 시즌11-2 Beginners 에르텔 추가 (2016-02-23) 박혜진																																
253	12	252	1	14	10000	450	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Elemental Defense Success Rate +%d%%"	1	//	"Beginners Errtel of Divinity"
// Errtel of Radiance ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																
// Unused Rank Option																																
//200	12	261	1	1	10000	501	1	0	2	9000	3	8500	4	8500	5	8500	6	8500	7	8500	8	8500	10	8500	12	8500	15	8500	"Elemental Debuff Success Rate +%d%%"	1	//	"Errtel of Radiance"
//210	12	261	2	1	2500	511	10	0	15	9000	20	8500	25	8500	30	8500	35	8500	40	8500	45	8500	50	8500	55	8500	60	8500	"Strength +%d"	0	//	"Errtel of Radiance" Rank 2
//211	12	261	2	2	2500	512	10	0	15	9000	20	8500	25	8500	30	8500	35	8500	40	8500	45	8500	50	8500	55	8500	60	8500	"Agility +%d"	0	//	"Errtel of Radiance" Rank 2
//212	12	261	2	3	2500	513	10	0	15	9000	20	8500	25	8500	30	8500	35	8500	40	8500	45	8500	50	8500	55	8500	60	8500	"Energy +%d"	0	//	"Errtel of Radiance" Rank 2
//213	12	261	2	4	2500	514	10	0	15	9000	20	8500	25	8500	30	8500	35	8500	40	8500	45	8500	50	8500	55	8500	60	8500	"Stamina +%d"	0	//	"Errtel of Radiance" Rank 2
//220	12	261	3	1	2500	521	20	0	25	9000	30	8500	35	8500	40	8500	50	8500	60	8500	70	8500	80	8500	90	8500	100	8500	"Maximum HP +%d"	0	//	"Errtel of Radiance" Rank 3
//221	12	261	3	2	2500	522	20	0	25	9000	30	8500	35	8500	40	8500	50	8500	60	8500	70	8500	80	8500	90	8500	100	8500	"Maximum Mana +%d"	0	//	"Errtel of Radiance" Rank 3
//222	12	261	3	3	2500	523	20	0	25	9000	30	8500	35	8500	40	8500	50	8500	60	8500	70	8500	80	8500	90	8500	100	8500	"Maximum AG +%d"	0	//	"Errtel of Radiance" Rank 3
//223	12	261	3	4	2500	524	500	0	550	9000	600	8500	650	8500	700	8500	750	8500	800	8500	850	8500	900	8500	950	8500	1000	8500	"Maximum SP +%d"	0	//	"Errtel of Radiance" Rank 3
//230	12	261	4	1	5000	531	5	0	6	9000	7	8500	8	8500	9	8500	10	8500	12	8500	14	8500	16	8500	18	8500	20	8500	"Elemental Attack Excellent Rate (in PvP) +%d%%"	1	//	"Errtel of Radiance" Rank 4
//231	12	261	4	2	5000	532	5	0	6	9000	7	8500	8	8500	9	8500	10	8500	12	8500	14	8500	16	8500	18	8500	20	8500	"Elemental Attack Excellent Rate (in Raids) +%d%%"	1	//	"Errtel of Radiance" Rank 4
//240	12	261	5	1	10000	541	1	0	2	9000	3	8500	4	8500	5	8500	6	8500	7	8500	8	8500	10	8500	12	8500	15	8500	"Additional Elemental Occurrence Chance +%d%%"	1	//	"Errtel of Radiance" Rank 5
// Rank 1																																
200	12	261	1	1	2495	501	33	0	48	9000	63	8500	78	8000	95	7500	112	7000	129	6500	148	6000	167	5500	186	5000	209	5000	"Elemental Damage (II) +%d"	0	//	"Errtel of Radiance"
201	12	261	1	2	2495	502	13	0	21	9000	29	8500	37	8000	46	7500	55	7000	64	6500	74	6000	84	5500	94	5000	107	5000	"Elemental Defense (II) +%d"	0	//	"Errtel of Radiance"
202	12	261	1	3	2495	503	150	0	173	9000	196	8500	219	8000	252	7500	285	7000	318	6500	361	6000	404	5500	447	5000	605	5000	"Elemental Attack Success Rate (II) +%d"	0	//	"Errtel of Radiance"
203	12	261	1	4	2495	504	150	0	173	9000	196	8500	219	8000	252	7500	285	7000	318	6500	361	6000	404	5500	447	5000	605	5000	"Elemental Defense Success Rate (II) +%d"	0	//	"Errtel of Radiance"
204	12	261	1	5	10	505	33	0	52	9000	71	8500	90	8000	120	7500	141	7000	162	6500	191	6000	213	5500	235	5000	261	5000	"Elemental Damage (III) +%d"	0	//	"Errtel of Radiance" 레어 옵션
205	12	261	1	6	10	506	13	0	23	9000	33	8500	43	8000	54	7500	65	7000	76	6500	90	6000	104	5500	118	5000	135	5000	"Elemental Defense (III) +%d"	0	//	"Errtel of Radiance" 레어 옵션
// Rank 2																																
210	12	261	2	1	4995	515	1	0	2	8500	3	8000	4	7500	5	7000	6	6500	7	6000	8	5500	9	5000	10	4500	11	4500	"Absorb Shield - 30%% chance to absorb %d%% damage as SD"	1	//	"Errtel of Radiance" Rank 2
211	12	261	2	2	4995	516	1	0	2	8500	3	8000	4	7500	5	7000	6	6500	7	6000	8	5500	9	5000	10	4500	11	4500	"Absorb Life - 30%% chance to absorb %d%% damage as Life"	1	//	"Errtel of Radiance" Rank 2
212	12	261	2	3	10	517	3	0	4	8500	5	8000	6	7500	8	7000	10	6500	12	6000	15	5500	18	5000	21	4500	25	4500	"Bastion - Protection is activated for %d sec. by 50%% chance when SD is below 20%%"	0	//	"Errtel of Radiance" Rank 2 레어 옵션
// Rank 3																																
220	12	261	3	1	3399	525	100	0	140	8000	180	7500	220	7000	260	6500	300	6000	340	5500	380	5000	420	4500	460	4000	500	4000	"Bleeding - A durable effect invoking %d damages to the target with certain chance when attacking"	0	//	"Errtel of Radiance" Rank 3
221	12	261	3	2	1800	526	13	0	14	8000	15	7500	16	7000	18	6500	20	6000	22	5500	25	5000	28	4500	31	4000	35	4000	"Paralyzing - Chance to decrease target's Moving Speed and every Healing ability by 90%%."	0	//	"Errtel of Radiance" Rank 3
222	12	261	3	3	2800	527	13	0	14	8000	15	7500	16	7000	18	6500	20	6000	22	5500	25	5000	28	4500	31	4000	35	4000	"Binding - Immobilize the target by holding its leg with certain chance when attacking."	0	//	"Errtel of Radiance" Rank 3
223	12	261	3	4	1	528	6	0	7	8000	8	7500	9	7000	10	6500	11	6000	12	5500	13	5000	14	4500	15	4000	16	4000	"Punish- 30%% chance to inflict damage (%d%% of target's MAX Life) upon Critical Elemental Damage."	1	//	"Errtel of Radiance" Rank 3
224	12	261	3	5	2000	529	50	0	52	8000	54	7500	56	7000	59	6500	62	6000	65	5500	69	5000	73	4500	77	4000	85	4000	"Blinding - Chance to greatly decrease target's Attack Success Rate by %d%% when attacking."	1	//	"Errtel of Radiance" Rank 3
// Rank 4																																
//230	12	261	4	1	7000	533	13	0	14	7500	15	7000	16	6500	18	6000	20	5500	22	5000	25	4500	28	4000	31	3500	35	3500	"Immune Skill I."	0	//	"Errtel of Radiance" Rank 4
//231	12	261	4	2	3000	534	13	0	14	7500	15	7000	16	6500	18	6000	20	5500	22	5000	25	4500	28	4000	31	3500	35	3500	"Immune Skill II."	0	//	"Errtel of Radiance" Rank 4
// Rank 5																																
//240	12	261	5	1	10000	542	13	0	14	7000	15	6500	16	6000	18	5500	20	5000	22	4500	25	4000	28	3500	31	3000	35	3000	"Berserker Skill I."	0	//	"Errtel of Radiance" Rank 5
end																																
