//가이드와 스페셜 퀘스트의 챕터, 제목, 받을때, 진행중, 완료 대사를 입력하며 공통으로 받을 때 에러용 대사가 준비되어야 한다.				
//QuestStringIndex	QuestString	StringType	Quest Index	//QuestChapter
41	마을 귀환 문서는 물약을 파는 상인들이 파는 아이템으로 마을 귀환 문서를 사용하면 가장 최근에 방문했던 마을로 돌아갈 수 있게 해 주는 1회성 소모 아이템입니다. 	2	7	//1
42	가시기 전에 퀘스트 창을 닫은 뒤 저를 다시 클릭해서 '공격력, 방어력 향상 버프를 받는다'를 선택하십시오. 220 레벨 이하라면 누구나 축복을 받을 수 있습니다. 버프를 받으면 게임 좌측 상단에 아이콘이 표시되고, 케릭터 주위에 푸른 빛의 이펙트가 생기며, 캐릭터의 공격력과 방어력이 1시간 동안 향상됩니다.	2	7	//1
43	사냥을 완료하시면 보상을 받으시러 다시 찾아오셔야합니다.	3	7	//1
44	Good job. We will reward you.	4	7	//1
45	로렌시아의 버지드래곤을 사냥하고 돌아 오세요. 즉시이동 버튼을 사용하면 해당 몬스터의 위치까지 자동이동이 가능합니다.	5	7	//1
46	엘베란드 기괴한토끼 사냥	1	8	//1
47	엘베란드 밖으로 나가 '기괴한 토끼'를 3마리만 사냥해 보세요. 위급한 순간에는 Q를 이용해 체력을 회복하세요. 전사님의 실력이라면 어렵지 않게 잡을 수 있을거에요.	2	8	//1
48	또, 사냥하다 도시에서 멀리 벗어나는 경우나, 위급한 경우 '마을귀환문서'를 사용하면 편리하답니다.	2	8	//1
49	마을 귀환 문서는 물약을 파는 상인들이 파는 아이템으로 마을 귀환 문서를 사용하면 가장 최근에 방문했던 마을로 돌아갈 수 있게 해 주는 1회성 소모 아이템입니다. 	2	8	//1
50	가시기 전에 퀘스트 창을 닫은 뒤 저를 다시 클릭해서 '공격력, 방어력 향상 버프를 받는다'를 선택하십시오. 220 레벨 이하라면 누구나 축복을 받을 수 있습니다. 버프를 받으면 게임 좌측 상단에 아이콘이 표시되고, 케릭터 주위에 푸른 빛의 이펙트가 생기며, 캐릭터의 공격력과 방어력이 1시간 동안 향상됩니다.	2	8	//1
51	사냥을 완료하시면 보상을 받으시러 다시 찾아오셔야합니다.	3	8	//1
52	Good job. We will reward you.	4	8	//1
53	엘베란드의 기괴한토끼를 사냥하고 돌아 오세요. 즉시이동 버튼을 사용하면 해당 몬스터의 위치까지 자동이동이 가능합니다.	5	8	//1
54	노리아 풍뎅이괴물 사냥	1	9	//1
55	노리아 밖으로 나가 풍뎅이 괴물을 30마리만 사냥해 보세요. 전사님의 실력이라면 어렵지 않게 처치할 수 있을 겁니다.	2	9	//1
56	가시기 전에 퀘스트 창을 닫은 뒤 저를 다시 클릭해서 '공격력, 방어력 향상 버프를 받는다'를 선택하십시오. 220 레벨 이하라면 누구나 축복을 받을 수 있습니다. 버프를 받으면 게임 좌측 상단에 아이콘이 표시되고, 케릭터 주위에 푸른 빛의 이펙트가 생기며, 캐릭터의 공격력과 방어력이 1시간 동안 향상됩니다.	2	9	//1
57	사냥을 완료하시면 보상을 받으시러 다시 찾아오셔야합니다.	3	9	//1
58	Good job. We will reward you.	4	9	//1
59	노리아의 풍뎅이괴물을 사냥하고 돌아 오세요. 즉시이동 버튼을 사용하면 해당 몬스터의 위치까지 자동이동이 가능합니다.	5	9	//1
60	로렌시아 하운드 사냥	1	10	//1
61	로랜시아 밖으로 나가 하운드를 30마리만 사냥해 보세요. 전사님의 실력이라면 어렵지 않게 처치할 수 있을 겁니다.	2	10	//1
62	가시기 전에 퀘스트 창을 닫은 뒤 저를 다시 클릭해서 '공격력, 방어력 향상 버프를 받는다'를 선택하십시오. 220 레벨 이하라면 누구나 축복을 받을 수 있습니다. 버프를 받으면 게임 좌측 상단에 아이콘이 표시되고, 케릭터 주위에 푸른 빛의 이펙트가 생기며, 캐릭터의 공격력과 방어력이 1시간 동안 향상됩니다.	2	10	//1
63	사냥을 완료하시면 보상을 받으시러 다시 찾아오셔야합니다.	3	10	//1
64	Good job. We will reward you.	4	10	//1
65	로렌시아의 하운드를 사냥하고 돌아 오세요. 즉시이동 버튼을 사용하면 해당 몬스터의 위치까지 자동이동이 가능합니다.	5	10	//1
66	엘베란드 오염된나비 사냥	1	11	//1
67	엘베란드 밖으로 나가 오염된 나비를 30마리만 사냥해 보세요. 전사님의 실력이라면 어렵지 않게 처치할 수 있을 겁니다.	2	11	//1
68	가시기 전에 퀘스트 창을 닫은 뒤 저를 다시 클릭해서 '공격력, 방어력 향상 버프를 받는다'를 선택하십시오. 220 레벨 이하라면 누구나 축복을 받을 수 있습니다. 버프를 받으면 게임 좌측 상단에 아이콘이 표시되고, 케릭터 주위에 푸른 빛의 이펙트가 생기며, 캐릭터의 공격력과 방어력이 1시간 동안 향상됩니다.	2	11	//1
69	사냥을 완료하시면 보상을 받으시러 다시 찾아오셔야합니다.	3	11	//1
70	Good job. We will reward you.	4	11	//1
71	엘베란드의 오염된나비를 사냥하고 돌아 오세요. 즉시이동 버튼을 사용하면 해당 몬스터의 위치까지 자동이동이 가능합니다.	5	11	//1
72	Skill learning explanation[Elf]	1	12	//1
73	이제 사냥에 매우 능숙해 지셨군요. 몬스터는 마우스 좌클릭으로 일반 공격을 하거나 마우스 우클릭으로 스킬 공격을 할 수 있습니다.	2	12	//1
74	방어력을 중시하는 민첩성 중시 요정이라면 무기를 착용해 해당 무기의 스킬을 사용할 수 있습니다. 마력을 중시하는 에너지 요정이라면 구슬을 구입해 스킬을 익힐 수 있죠.	2	12	//1
75	요정이라면 노리아의 라라요정(173,124)에게 구슬을 구입하거나, 노리아의 장로 가루스(195,123)에게 무기를 구입해 스킬을 익힐 수 있습니다.	2	12	//1
76	좀 더 쉬운 설명을 위해 사용 가능한 무기와 구슬을 하나드리지요.	2	12	//1
77	Good job. We will reward you.	4	12	//1
78	기본 지식에 대한 설명을 듣습니다. 	5	12	//1
79	Skill learning explanation[Knight]	1	13	//1
80	이제 사냥에 매우 능숙해 지셨군요. 몬스터는 마우스 좌클릭으로 일반 공격을 하거나 마우스 우클릭으로 스킬 공격을 할 수 있습니다.	2	13	//1
81	흑기사라면 무기와 구슬을 구입해 힘찬 검술을 구사하는 것이 특징이지요.	2	13	//1
82	흑기사라면 로랜시아의 마법사 파시(119,112)에게 구슬을 구입해 스킬을 익힐 수 있습니다. 구슬을 구입한 뒤, 마우스 우클릭으로 스킬을 익히세요.	2	13	//1
83	좀 더 쉬운 설명을 위해 사용 가능한 무기와 구슬을 하나드리지요.	2	13	//1
84	Good job. We will reward you.	4	13	//1
85	기본 지식에 대한 설명을 듣습니다.	5	13	//1
86	Skill learning explanation[Wizard]	1	14	//1
87	이제 사냥에 매우 능숙해 지셨군요. 몬스터는 마우스 좌클릭으로 일반 공격을 하거나 마우스 우클릭으로 스킬 공격을 할 수 있습니다.	2	14	//1
88	흑마법사라면 법서와 양피지를 구입해 여러 가지 마법 스킬을 화려하게 구사하는 것이 특징이지요. 	2	14	//1
89	흑마법사라면 로랜시아의 마법사 파시(119,112)에게 법서를 구입하거나,  로랜시아의 대장장이 한스(116,142)에게 무기를 구입해 스킬을 익힐 수 있습니다.	2	14	//1
90	좀 더 쉬운 설명을 위해 사용 가능한 무기와 구슬을 하나드리지요.	2	14	//1
91	Good job. We will reward you.	4	14	//1
92	기본 지식에 대한 설명을 듣습니다.	5	14	//1
93	Skill learning explanation[Summoner]	1	15	//1
94	이제 사냥에 매우 능숙해 지셨군요. 몬스터는 마우스 좌클릭으로 일반 공격을 하거나 마우스 우클릭으로 스킬 공격을 할 수 있습니다.	2	15	//1
95	소환술사라면 법서와 양피지를 구입해 여러 가지 마법 스킬을 화려하게 구사하는 것이 특징이지요.	2	15	//1
96	소환술사라면 엘베란드의 마르세(36, 218)에게 법서를 구입해 스킬을 익힐 수 있습니다. 법서를 구입한 뒤, 마우스 우클릭으로 스킬을 익히세요.	2	15	//1
97	좀 더 쉬운 설명을 위해 사용 가능한 무기와 구슬을 하나드리지요.	2	15	//1
98	Good job. We will reward you.	4	15	//1
99	기본 지식에 대한 설명을 듣습니다. 	5	15	//1
100	25레벨 달성 후 쉐도우팬텀을 다시 찾아가세요.	1	16	//1
101	훈련도 막바지로 접어 드는 군요. 스킬도 새로 배웠으니 전사로서 좀 더 많은 전투를 해 보는 게 좋겠지요. 레벨을 일정수치까지 높이고 오시면 '유니리아'를 선물로 드리겠습니다.	2	16	//1
102	유니리아는 전투 필드에서 탈 수 있는 '탈것'입니다. 캐릭터창 좌측 상단에 착용하면 빠른 속도로 전투 필드를 이동할 수 있습니다.	2	16	//1
103	레벨 25를 달성한 뒤, 저에게 다시 찾아와 주세요. 축하의 뜻으로 '유니리아'를 선물로 드리겠습니다.	2	16	//1
104	레벨 25에 도달 하시면 보상을 받으시러 다시 찾아오셔야합니다.	3	16	//1
105	Good job. We will reward you.	4	16	//1
106	25레벨을 달성하고 다시 돌아 오세요. 	5	16	//1
107	Skill learning explanation 종합편	1	17	//1
108	정말 멋지게 성장하셨군요. 이 정도면 여왕님도 마음에 들어 하실 겁니다. 실은 여왕님께서 전사들에게 필요한 몇 가지 물품을 챙겨 주셨거든요.	2	17	//1
109	뮤 제국을 여행 할 수 있는지 기본 지식을 조금 더 알려드리고 마지막으로 여왕님의 선물을 드리겠습니다. 	2	17	//1
110	캐릭터 Alt+우클릭을 이용해 거래, 파티, 구매, 따라가기 등의 여러 가지 기능을 이용할 수 있습니다. 많은 활용 부탁 드립니다.	2	17	//1
111	아이디를 알고 있는 친구나 다른 사람과 개인적인 대화를 하고 싶다면 대화창에서 tab 키를 이용해 귓속말을 진행할 수 있습니다.	2	17	//1
112	레벨은 1만 되어도 인벤토리 창에 수리 버튼을 사용해 간편히 수리 할 수 있습니다. 하지만 NPC를 통한 수리보다 가격이 비싸니 주의하세요.	2	17	//1
113	뮤 월드는 레벨이 적정하고 Zen만 충분하다면 M을 통해 쉽게 이동할 수 있습니다. 레벨이 적정한 곳을 찾아 사냥을 즐기는 것도 재미있을 겁니다.	2	17	//1
114	다음에 다시 더 늠름해진 전사님을 뵙길 기대하고 있겠습니다. 쿤둔의 힘에 맞설 훌륭한 전사가 되어 이 세계를 구원해 주세요! (튜토리얼을 모두 완료하셨습니다.)	2	17	//1
115	Good job. We will reward you.	4	17	//1
116	기본 지식에 대한 설명을 듣습니다.	5	17	//1
117	Lorencia Shadow Phantom Soldier request	1	18	//2
118	Reach level 50 and go to the Shadow Phantom Soldier.	5	18	//2
119	Chaos Castle Quest (50~399) Listen to the description.	1	19	//2
120	Have you heard of Chaos Castle? It is said that there is no better suitable place to prove your strength. Would you like to hear about it and join it?(50~399)	2	19	//2
121	우선 카오스 캐슬의 유래에 대해서 잠깐 설명 드리자면 선신 루가드와 악신 세크네움이 세상의 선과 악의 균형을 위해서 만든 장소라고 합니다. 하지만 여행자들은 카오스 캐슬에서 선신 루가드의 편에 서서 싸우게 되자 악신 세크네움의 세력이 점점 약화되어 갔습니다.	2	19	//2
122	이에 세크네움은 새로운 규칙으로 공평하게 경기를 진행하자고 선신 루가드에게 제안을 하게 되었습니다. 그것은 바로 모두 근위병의 갑옷을 입고 경기를 진행하자는 제안이었습니다. 선신 루가드는 그것이 공평하다고 생각되어 수락하였습니다.	2	19	//2
123	하지만 악신 세크네움은 여행자들의 어두운 면이 여행자들간의 반목과 분열을 일으킬 것이란 것을 염두에 두고 이러한 계책을 새운 것이었습니다. 선신 루가드는 이런 것을 알았지만 여행자들을 너무 믿었습니다. 악신의 바람대로 여행자들은 서로 반목을 하며 더욱 혼란스러운 카오스 캐슬이 되어버렸습니다.	2	19	//2
124	카오스 캐슬의 참여 방법은 매우 간단합니다. 정해진 시간(12:00AM, 14:00PM, 16:00PM, 18:00PM, 20:00PM, 22:00PM)에 근위병의갑옷세트를 우 클릭하시면 입장하실 수 있습니다. 물론 특수한 곳(PC방)에서 계신 분들이라면 그 곳에 입장하는 횟수가 더 많습니다.	2	19	//2
125	입장을 하시면 대기 시간이 약 1분 정도 있습니다. 이 시간이 흐른 후 경기가 시작되게 되어 있습니다. 경기가 시작되면 경기에 참여한 여행자와 타락한 근위병이 서로를 죽이는 비정한 경기가 펼쳐지게 되어 있습니다. 	2	19	//2
126	여행자를 처치하면 상관이 없지만 타락한 근위병을 처치하실 때는 조심하셔야 합니다. 타락한 근위병이 죽을 때 폭발이 일어나는데 이것 때문에 밀려서 경기장 밖으로 떨어질 경우 실격처리가 되어버리기 때문입니다.	2	19	//2
127	참여 시간을 보시려면 제가 드리는 근위병의갑옷세트에 마우스 커서를 올려서 확인해보십시오. 그리고 참여를 원하시면 정해진 시간에 근위병의갑옷세트를 우 클릭하시면 참여하실 수 있습니다. 시간이 되실 때 저를 찾아오시면 경기에 필요한 아이템을 받으실 수 있는 임무를 드리겠습니다.	2	19	//2
128	If everything is understood, take the reward.	4	19	//2
129	카오스캐슬에 대한 설명을 듣습니다. 	5	19	//2
130	Get required Chaos Castle event supplies	1	20	//2
131	You came quickly. I will give you a simple mission to get the items you need for the event. (50~399)	2	20	//2
132	요즘 던전에서 여행자들을 괴롭히는 유충들 때문에 초보 여행자들이 수련을 하는데 방해가 된다고 합니다. 그래서 유충 40마리 정도만 퇴치를 하시고 저에게 오시면 중간치료물약 10개, 중간마나물약 10개, 작은 SD 회복 물약 1개를 드리겠습니다. 보상을 받으실 때 인벤토리에 빈 공간이 20칸이 존재해야 무리 없이 보상을 받으실 수 있습니다. 주의해주십시오.	2	20	//2
133	Go to Dungeon and kill larvas.	3	20	//2
134	Thank you. We will give you a reward.	4	20	//2
135	Go to Dungeon and kill larvas.	5	20	//2
136	Go to Chaos Castle and kill guards!	1	21	//2
137	Chaos Castle challenge is made for testing your limits. (50~399)	2	21	//2
138	Go to Chaos Castle 1 and kill 1 guard. Come to me after that and i will reward you. Keep in mind, however, that you can only do this at Chaos Castle 1.	2	21	//2
139	Go to Chaos Castle and kill 1 guard!	3	21	//2
140	Thank you.	4	21	//2
141	Go to Chaos Castle and kill 1 guard!	5	21	//2
142	Clear Chaos Castle!	1	22	//2
143	Surviving at Chaos Castle proves that your training is very good. (50~399)	2	22	//2
144	Go to Chaos Castle 1 and clear it. Come to me after that and i will reward you. Keep in mind, however, that you can only do this at Chaos Castle 1.	2	22	//2
145	Go to Chaos Castle and clear it.	3	22	//2
146	Thank you.	4	22	//2
147	Go to Chaos Castle and clear it.	5	22	//2
148	Chaos Castle Quest (400~599) Listen to the description.	1	23	//2
149	신들의 투기장인 카오스 캐슬을 들어보셨습니까? 자신의 강함을 증명하기엔 그 곳만큼 적당한 곳이 없다고 합니다. 한번 이야기를 들어보고 참여해보시겠습니까?(400~599)	2	23	//2
150	우선 카오스 캐슬의 유래에 대해서 잠깐 설명 드리자면 선신 루가드와 악신 세크네움이 세상의 선과 악의 균형을 위해서 만든 장소라고 합니다. 하지만 여행자들은 카오스 캐슬에서 선신 루가드의 편에 서서 싸우게 되자 악신 세크네움의 세력이 점점 약화되어 갔습니다.	2	23	//2
151	이에 세크네움은 새로운 규칙으로 공평하게 경기를 진행하자고 선신 루가드에게 제안을 하게 되었습니다. 그것은 바로 모두 근위병의 갑옷을 입고 경기를 진행하자는 제안이었습니다. 선신 루가드는 그것이 공평하다고 생각되어 수락하였습니다.	2	23	//2
152	하지만 악신 세크네움은 여행자들의 어두운 면이 여행자들간의 반목과 분열을 일으킬 것이란 것을 염두에 두고 이러한 계책을 새운 것이었습니다. 선신 루가드는 이런 것을 알았지만 여행자들을 너무 믿었습니다. 악신의 바람대로 여행자들은 서로 반목을 하며 더욱 혼란스러운 카오스 캐슬이 되어버렸습니다.	2	23	//2
153	카오스 캐슬의 참여 방법은 매우 간단합니다. 정해진 시간(12:00AM, 14:00PM, 16:00PM, 18:00PM, 20:00PM, 22:00PM)에 근위병의갑옷세트를 우 클릭하시면 입장하실 수 있습니다. 물론 특수한 곳(PC방)에서 계신 분들이라면 그 곳에 입장하는 횟수가 더 많습니다.	2	23	//2
154	입장을 하시면 대기 시간이 약 1분 정도 있습니다. 이 시간이 흐른 후 경기가 시작되게 되어 있습니다. 경기가 시작되면 경기에 참여한 여행자와 타락한 근위병이 서로를 죽이는 비정한 경기가 펼쳐지게 되어 있습니다. 	2	23	//2
155	여행자를 처치하면 상관이 없지만 타락한 근위병을 처치하실 때는 조심하셔야 합니다. 타락한 근위병이 죽을 때 폭발이 일어나는데 이것 때문에 밀려서 경기장 밖으로 떨어질 경우 실격처리가 되어버리기 때문입니다.	2	23	//2
156	참여 시간을 보시려면 제가 드리는 근위병의갑옷세트에 마우스 커서를 올려서 확인해보십시오. 그리고 참여를 원하시면 정해진 시간에 근위병의갑옷세트를 우 클릭하시면 참여하실 수 있습니다. 시간이 되실 때 저를 찾아오시면 경기에 필요한 아이템을 받으실 수 있는 임무를 드리겠습니다.	2	23	//2
157	If everything is understood, take the reward.	4	23	//2
158	카오스캐슬에 대한 설명을 듣습니다. 	5	23	//2
159	Get required Chaos Castle event supplies	1	24	//2
160	Welcome. 경기에 필요한 아이템을 받으실 수 있는 간단한 임무를 드리겠습니다. (400~599)	2	24	//2
161	요즘 던전에서 여행자들을 괴롭히는 헬 스파이더들 때문에 초보 여행자들이 수련을 하는데 방해가 된다고 합니다. 그래서 헬 스파이더 60마리 정도만 퇴치를 하시고 저에게 오시면 큰치료물약 5개, 큰마나물약 5개, 작은 SD 회복 물약 2개를 드리겠습니다. 보상을 받으실 때 인벤토리에 빈 공간이 13칸이 존재해야 무리 없이 보상을 받으실 수 있습니다. 주의해주십시오.	2	24	//2
162	던전에서 헬 스파이더들을 처치하고 돌아 오세요.	3	24	//2
163	Thank you. We will give you a reward.	4	24	//2
164	던전에서 헬 스파이더 몬스터를 처치하고 필수품을 지급 받습니다.	5	24	//2
165	카오스캐슬에서 몬스터킬 3회!	1	25	//2
166	Chaos Castle challenge is made for testing your limits. (400~599)	2	25	//2
167	카오스 캐슬 2레벨에 도전하셔서 근위병 3명을 제거하시고 저에게 오시면 20만 젠을 보상으로 드리겠습니다. 단, 카오스 캐슬 2레벨에서만 수행이 가능하다는 점 명심하십시오.	2	25	//2
168	이벤트맵에서 카오스캐슬에 참여하여 몬스터를 3킬하고 돌아오세요.	3	25	//2
169	Thank you.	4	25	//2
170	카오스캐슬에서 몬스터를 3킬하고 돌아오세요.	5	25	//2
171	Clear Chaos Castle!	1	26	//2
172	Surviving at Chaos Castle proves that your training is very good. (400~599)	2	26	//2
173	카오스 캐슬 2레벨에 도전하셔서 살아 남으십시오. 그리고 저를 찾아오시면 경험치 40만과 30만 젠을 보상으로 드리겠습니다. 단, 카오스 캐슬 2레벨에서만 수행이 가능하다는 점 명심하십시오.	2	26	//2
174	Go to Chaos Castle and clear it.	3	26	//2
175	Thank you.	4	26	//2
176	Go to Chaos Castle and clear it.	5	26	//2
177	Get required Chaos Castle event supplies	1	27	//2
178	Welcome. 경기에 필요한 아이템을 받으실 수 있는 간단한 임무를 드리겠습니다. (600~699)	2	27	//2
179	던전의 최하층에서 다크나이트들이 고르곤을 위시하여 좋지 않은 계획을 꾸민다는 이야기가 있습니다. 던전 3층으로 가셔서 다크나이트 80마리를 퇴치해주십시오. 완료를 하신 후에 저에게 오시면 큰치료물약 10개, 큰마나물약 10개, 작은 복합물약 5개를 보상으로 드리겠습니다. 보상을 받으실 때 인벤토리에 빈 공간이 20칸이 존재해야 무리 없이 보상을 받으실 수 있습니다. 주의해주십시오.	2	27	//2
180	Go to Dungeon and kill Dark Knights.	3	27	//2
181	Thank you. We will give you a reward.	4	27	//2
182	Go to Dungeon and kill Dark Knights.	5	27	//2
183	Go to Chaos Castle and kill some guards!	1	28	//2
184	Chaos Castle challenge is made for testing your limits. (600~699)	2	28	//2
185	카오스 캐슬 3레벨에 도전하셔서 근위병 5명을 제거하시고 저에게 오시면 경험치 80만, 50만 젠을 보상으로 드리겠습니다. 단, 카오스 캐슬 3레벨에서만 수행이 가능하다는 점 명심하십시오.	2	28	//2
186	Go to Chaos Castle and kill some guards!	3	28	//2
187	Thank you.	4	28	//2
188	Go to Chaos Castle and kill some guards!	5	28	//2
189	Clear Chaos Castle!	1	29	//2
190	Surviving at Chaos Castle proves that your training is very good. (600~699)	2	29	//2
191	카오스 캐슬 3레벨에 도전하셔서 살아 남으십시오. 그리고 저를 찾아오시면 경험치 100만, 혼돈의 보석 1개를 보상으로 드리겠습니다. 단, 카오스 캐슬 3레벨에서만 수행이 가능하다는 점 명심하십시오.	2	29	//2
192	Go to Chaos Castle and clear it.	3	29	//2
193	Thank you.	4	29	//2
194	Go to Chaos Castle and clear it.	5	29	//2
195	Get required Chaos Castle event supplies	1	30	//2
196	Welcome. 경기에 필요한 아이템을 받으실 수 있는 간단한 임무를 드리겠습니다. (700~799)	2	30	//2
197	로스트 타워 4~6층에 있는 데빌이 적당할 것 같습니다. 로스트 타워로 가셔서 데빌 100마리를 퇴치하고 돌아오시면 중간 SD물약 5개, 중간복합물약 5개를 보상으로 드리겠습니다. 보상을 받으실 때 인벤토리에 빈 공간이 15칸이 존재해야 무리 없이 보상을 받으실 수 있습니다. 주의해주십시오.	2	30	//2
198	로스트 타워 4~6층에서 데빌들을 처치하고 돌아 오세요.	3	30	//2
199	Thank you. We will give you a reward.	4	30	//2
200	로스트 타워 4~6층에서 데빌 몬스터를 처치하고 필수품을 지급 받습니다.	5	30	//2
201	카오스캐슬에서 유저킬 1회!	1	31	//2
202	Chaos Castle challenge is made for testing your limits. (700~799)	2	31	//2
