//////////////////////////////////////////////////////////////////////////////////////																				
// [ Script ]	LabyrinthOfDimensionInfo																			
// [ Start ] 	2017-01-02																			
// [ Latest ]	2017-01-02 15:57																			
// [ Author ]	박혜진																			
// [ Version ]	0.0.0.2																			
// [ Text ]	차원의 미궁 설정																			
// [ Desc ]	차원의 미궁 사용설명 추가																			
// [사용부서]	서버, 클라이언트																			
//////////////////////////////////////////////////////////////////////////////////////																				
																				
//차원의 미궁 맵 지역으로 사용할 맵 설정 (클라이언트 사용)																				
//차원의 미궁 맵의 지역은 기존 게임 내 맵의 특정 부분을 로드하여 사용하는 형태로 제작되었습니다.																				
//신규 추가 시 기존 게임 맵의 16x12 크기 만큼의 x, y 좌표를 입력합니다.																				
0																				
//인덱스	맵 번호	시작X	시작Y	종료X	종료Y	맵 이름(자동 입력됨)														
3	3	4	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	754	2	755	3	756	3	//도우미 사용 시간 (초)
3	4	5	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	754	2	755	3	756	3	//치료물약 없이 몬스터 목표 마리 수 처치
3	5	6	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	754	2	755	3	756	3	//마나물약 없이 몬스터 목표 마리 수 처치
3	6	7	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	754	2	755	2	756	2	//획득경험치 달성 (사용안함)
//출구 지역																				
//출구 지역의 5개의 미션은 미션 종류 1 ~ 6번에 설정된 미션 중 하나가 랜덤하게 설정됩니다.																				
4	0	1	15	1	15	3	1500000	3	1500000	4	60	4	60	754	4	755	3	756	3	//약 5분
end																				
																				
//차원의 미궁 맵 구성 설정																				
//차원의 미궁 층 하나를 구성합니다.																				
//신규 제작 시 엑셀파일 내 '미궁 맵 구성(추가시 사용)'탭으로 맵을 구성하여 값만 입력하는 방법을 권장합니다.																				
//입력하지 않은 행, 열 번호는 모두 이동불가 지역(사용하지 않는 지역)으로 설정됩니다.																				
3																				
// 맵 구성 번호	층	행 개수	열 개수																	
1	1	10	10																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	20	3	4	0	2	0	0	//정상											
0	1	13	2	0	0	1	0	1	//정상											
0	2	32	2	0	0	1	1	1	//정상											
0	3	22	3	0	0	2	2	2	//정상											
0	4	12	2	0	0	0	1	1	//정상											
0	5	30	3	2	0	2	2	0	//정상											
0	6	21	3	3	0	2	0	2	//정상											
0	7	30	3	3	0	2	2	2	//정상											
0	8	31	2	0	0	1	1	0	//정상											
0	9	12	3	2	0	2	0	0	//정상											
1	0	30	2	0	1	1	0	0	//정상											
1	1	28	2	0	1	1	0	0	//정상											
1	2	3	3	4	2	2	0	0	//정상											
1	3	23	4	0	1	0	0	1	//정상											
1	4	21	3	4	0	2	2	2	//정상											
1	5	32	2	0	1	1	1	0	//정상											
1	6	15	2	0	1	1	0	1	//정상											
1	7	34	2	0	1	0	1	1	//정상											
1	8	27	3	1	2	2	2	2	//정상											
1	9	14	2	0	1	1	1	0	//정상											
2	0	17	3	5	2	2	0	2	//정상											
2	1	37	3	3	2	2	2	2	//정상											
2	2	14	2	0	1	1	1	1	//정상											
2	3	15	3	4	0	0	2	2	//정상											
2	4	30	2	0	1	0	1	1	//정상											
2	5	26	2	0	1	1	1	1	//정상											
2	6	15	3	2	2	2	2	2	//정상											
2	7	26	2	0	0	0	1	1	//정상											
2	8	30	3	4	2	0	2	2	//정상											
2	9	0	2	0	1	0	1	0	//정상											
3	0	21	2	0	1	1	0	1	//정상											
3	1	24	2	0	1	0	1	1	//정상											
3	2	34	3	3	2	0	2	2	//정상											
3	3	6	2	0	0	0	1	1	//정상											
3	4	5	2	0	0	1	1	1	//정상											
3	5	37	3	4	2	2	2	2	//정상											
3	6	18	2	0	1	1	1	1	//정상											
3	7	27	2	0	0	0	1	1	//정상											
3	8	27	3	0	0	0	2	2	//정상											
3	9	9	2	0	0	0	1	0	//정상											
4	0	22	2	0	1	1	0	0	//정상											
4	1	17	2	0	0	1	0	0	//정상											
4	2	0	2	0	0	1	0	1	//정상											
4	3	30	3	4	0	2	2	2	//정상											
4	4	27	2	0	1	1	1	1	//정상											
4	5	15	3	5	2	0	2	2	//정상											
4	6	11	2	0	1	1	1	1	//정상											
4	7	36	3	5	0	0	2	2	//정상											
4	8	24	2	0	0	1	1	1	//정상											
4	9	4	2	0	0	1	1	0	//정상											
5	0	17	3	1	2	0	0	0	//정상											
5	1	7	3	4	2	2	0	0	//정상											
5	2	21	3	0	2	2	0	2	//정상											
5	3	37	3	0	2	2	2	2	//정상											
5	4	11	2	0	1	1	1	0	//정상											
5	5	37	2	0	0	1	0	1	//정상											
5	6	37	3	3	2	0	2	2	//정상											
5	7	7	2	0	0	1	1	1	//정상											
5	8	20	3	3	2	2	2	2	//정상											
5	9	27	2	0	1	0	1	0	//정상											
6	0	1	3	1	0	2	0	2	//정상											
6	1	16	2	0	1	1	1	1	//정상											
6	2	10	2	0	1	0	1	1	//정상											
6	3	21	2	0	1	0	1	1	//정상											
6	4	25	2	0	1	0	1	1	//정상											
6	5	27	2	0	1	1	1	0	//정상											
6	6	12	2	0	0	1	0	1	//정상											
6	7	3	3	1	2	2	2	2	//정상											
6	8	18	2	0	1	1	1	1	//정상											
6	9	35	3	3	0	0	2	0	//정상											
7	0	16	2	0	1	0	0	1	//정상											
7	1	30	3	3	2	2	2	2	//정상											
7	2	10	2	0	0	0	1	1	//정상											
7	3	22	3	4	0	0	2	2	//정상											
7	4	37	2	0	0	0	1	1	//정상											
7	5	7	2	0	1	1	1	1	//정상											
7	6	33	3	0	2	2	2	2	//정상											
7	7	28	1	0	1	1	1	1	//정상											
7	8	29	3	4	2	2	2	2	//정상											
7	9	10	2	0	0	0	1	0	//정상											
8	0	11	3	3	0	2	0	0	//정상											
8	1	21	3	2	2	0	0	2	//정상											
8	2	25	2	0	0	0	1	0	//정상											
8	3	6	3	1	0	0	0	2	//정상											
8	4	31	2	0	0	0	1	1	//정상											
8	5	33	3	3	2	2	2	0	//정상											
8	6	32	2	0	1	1	0	1	//정상											
8	7	23	3	2	2	2	2	2	//정상											
8	8	34	2	0	1	1	1	1	//정상											
8	9	36	3	1	0	0	2	0	//정상											
9	0	14	2	0	1	0	0	1	//정상											
9	1	30	2	0	0	0	1	1	//정상											
9	2	24	2	0	0	0	1	1	//정상											
9	3	27	2	0	0	0	1	1	//정상											
9	4	35	2	0	0	0	1	1	//정상											
9	5	7	2	0	1	0	1	0	//정상											
9	6	0	3	1	2	0	0	2	//정상											
9	7	23	2	0	1	0	1	1	//정상											
9	8	6	2	0	1	0	1	1	//정상											
9	9	30	2	0	0	0	1	0	//정상											
end																				
// 맵 구성 번호	층	행 개수	열 개수																	
2	1	10	10																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	12	2	0	0	1	0	1	//정상											
0	1	16	3	3	0	2	2	0	//정상											
0	2	11	2	0	0	1	0	1	//정상											
0	3	6	2	0	0	1	1	0	//정상											
0	4	18	2	0	0	1	0	1	//정상											
0	5	9	3	0	0	0	2	2	//정상											
0	6	8	2	0	0	0	1	0	//정상											
0	7	6	2	0	0	1	0	1	//정상											
0	8	9	2	0	0	0	1	1	//정상											
0	9	30	3	4	0	2	2	0	//정상											
1	0	34	2	0	1	1	0	1	//정상											
1	1	6	3	4	2	2	2	0	//정상											
1	2	4	3	0	2	2	0	2	//정상											
1	3	9	3	3	2	2	2	0	//정상											
1	4	33	2	0	1	1	0	1	//정상											
1	5	32	4	0	0	0	1	1	//정상											
1	6	2	3	5	0	2	2	2	//정상											
1	7	9	3	0	2	2	2	2	//정상											
1	8	34	2	0	0	0	1	0	//정상											
1	9	1	3	0	2	2	0	0	//정상											
2	0	27	3	5	2	2	0	2	//정상											
2	1	11	2	0	1	0	1	0	//정상											
2	2	30	2	0	1	1	0	1	//정상											
2	3	7	2	0	1	1	1	0	//정상											
2	4	7	3	0	2	2	0	2	//정상											
2	5	16	3	5	0	2	2	2	//정상											
2	6	14	2	0	1	0	1	0	//정상											
2	7	34	2	0	1	1	0	1	//정상											
2	8	18	2	0	0	0	1	0	//정상											
2	9	30	2	0	1	1	0	0	//정상											
3	0	25	2	0	1	1	0	0	//정상											
3	1	30	3	3	0	2	0	2	//정상											
3	2	36	3	0	2	0	2	2	//정상											
3	3	16	2	0	1	0	1	1	//정상											
3	4	25	3	5	2	0	2	2	//정상											
3	5	18	2	0	1	0	1	1	//정상											
3	6	8	3	1	0	2	2	0	//정상											
3	7	21	2	0	1	1	0	1	//정상											
3	8	16	3	0	0	0	2	0	//정상											
3	9	33	2	0	1	1	0	0	//정상											
4	0	34	2	0	1	1	0	0	//정상											
4	1	24	2	0	1	0	0	1	//정상											
4	2	32	3	5	0	2	2	2	//정상											
4	3	24	3	3	0	2	2	2	//정상											
4	4	3	2	0	0	1	1	1	//정상											
4	5	34	3	5	0	2	2	2	//정상											
4	6	13	3	2	2	2	2	0	//정상											
4	7	11	2	0	1	1	0	1	//정상											
4	8	19	2	0	0	0	1	0	//정상											
4	9	25	2	0	1	1	0	0	//정상											
5	0	3	2	0	1	1	0	1	//정상											
5	1	17	2	0	0	1	1	1	//정상											
5	2	13	3	1	2	2	2	2	//정상											
5	3	26	2	0	1	0	1	1	//정상											
5	4	36	2	0	1	0	1	1	//정상											
5	5	19	2	0	1	0	1	1	//정상											
5	6	33	2	0	1	1	1	0	//정상											
5	7	4	3	1	2	2	0	2	//정상											
5	8	13	2	0	0	0	1	0	//정상											
5	9	24	3	5	2	2	0	0	//정상											
6	0	33	3	0	2	2	0	2	//정상											
6	1	32	3	1	2	2	2	2	//정상											
6	2	21	1	0	1	1	1	1	//정상											
6	3	32	3	2	0	0	2	2	//정상											
6	4	27	2	0	0	1	1	1	//정상											
6	5	10	3	5	0	2	2	2	//정상											
6	6	17	2	0	1	1	1	0	//정상											
6	7	21	2	0	1	1	0	1	//정상											
6	8	5	3	3	0	2	2	0	//정상											
6	9	12	2	0	1	1	0	0	//정상											
7	0	11	2	0	1	1	0	1	//정상											
7	1	17	2	0	1	1	1	0	//정상											
7	2	33	3	2	2	2	0	2	//정상											
7	3	10	2	0	0	0	1	1	//정상											
7	4	26	3	1	2	0	2	2	//정상											
7	5	10	2	0	1	0	1	1	//정상											
7	6	13	3	4	2	0	2	2	//정상											
7	7	4	2	0	1	0	1	1	//정상											
7	8	20	2	0	1	0	1	1	//정상											
7	9	11	2	0	1	0	1	0	//정상											
8	0	4	2	0	1	1	0	1	//정상											
8	1	17	3	3	2	2	2	0	//정상											
8	2	0	2	0	1	1	0	1	//정상											
8	3	10	2	0	0	1	1	1	//정상											
8	4	2	2	0	0	1	1	1	//정상											
8	5	21	3	1	0	2	2	2	//정상											
8	6	25	2	0	0	1	1	1	//정상											
8	7	17	3	0	0	0	2	2	//정상											
8	8	7	2	0	0	0	1	1	//정상											
8	9	19	3	3	0	0	2	0	//정상											
9	0	10	3	3	2	0	0	2	//정상											
9	1	3	2	0	1	0	1	0	//정상											
9	2	26	3	0	2	0	0	2	//정상											
9	3	6	3	0	2	0	2	2	//정상											
9	4	24	2	0	1	0	1	1	//정상											
9	5	20	2	0	1	0	1	1	//정상											
9	6	14	2	0	1	0	1	1	//정상											
9	7	11	3	2	0	0	2	2	//정상											
9	8	36	2	0	0	0	1	1	//정상											
9	9	29	2	0	0	0	1	0	//정상											
end																				
// 맵 구성 번호	층	행 개수	열 개수																	
3	1	10	10																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	10	2	0	0	1	0	1	//정상											
0	1	10	3	4	0	0	2	2	//정상											
0	2	0	2	0	0	0	1	1	//정상											
0	3	34	2	0	0	0	1	1	//정상											
0	4	18	3	4	0	2	2	2	//정상											
0	5	14	2	0	0	1	1	0	//정상											
0	6	1	3	4	0	0	0	2	//정상											
0	7	23	3	4	0	0	2	2	//정상											
0	8	8	2	0	0	0	1	1	//정상											
0	9	28	2	0	0	1	1	0	//정상											
1	0	3	2	0	1	1	0	1	//정상											
1	1	5	3	2	0	2	2	2	//정상											
1	2	21	2	0	0	1	1	1	//정상											
1	3	0	3	3	0	2	2	0	//정상											
1	4	5	3	0	2	2	0	0	//정상											
1	5	31	4	0	1	1	0	1	//정상											
1	6	16	3	2	0	2	2	2	//정상											
1	7	12	2	0	0	1	1	1	//정상											
1	8	25	3	4	0	2	2	2	//정상											
1	9	21	2	0	1	1	1	0	//정상											
2	0	23	3	1	2	2	0	2	//정상											
2	1	34	3	5	2	2	2	2	//정상											
2	2	5	2	0	1	0	1	0	//정상											
2	3	15	2	0	1	1	0	0	//정상											
2	4	22	2	0	1	1	0	0	//정상											
2	5	29	2	0	1	1	0	1	//정상											
2	6	5	2	0	1	1	1	1	//정상											
2	7	28	2	0	1	1	1	1	//정상											
2	8	17	2	0	1	1	1	1	//정상											
2	9	24	3	0	2	2	2	0	//정상											
3	0	35	2	0	1	1	0	1	//정상											
3	1	29	2	0	1	1	1	1	//정상											
3	2	29	2	0	0	1	1	0	//정상											
3	3	7	2	0	1	1	0	0	//정상											
3	4	34	2	0	1	1	0	0	//정상											
3	5	2	3	2	2	2	0	2	//정상											
3	6	10	2	0	1	0	1	1	//정상											
3	7	4	2	0	1	1	1	1	//정상											
3	8	36	3	3	2	0	2	2	//정상											
3	9	24	2	0	1	1	1	0	//정상											
4	0	20	3	2	2	2	0	2	//정상											
4	1	0	3	2	2	2	2	0	//정상											
4	2	14	3	1	2	2	0	0	//정상											
4	3	32	3	3	2	2	0	0	//정상											
4	4	31	3	0	2	2	0	2	//정상											
4	5	3	2	0	1	0	1	1	//정상											
4	6	7	2	0	0	0	1	1	//정상											
4	7	11	3	2	2	2	2	2	//정상											
4	8	15	2	0	0	1	1	1	//정상											
4	9	20	3	5	2	2	2	0	//정상											
5	0	36	2	0	1	0	0	1	//정상											
5	1	14	2	0	1	1	1	0	//정상											
5	2	25	3	5	2	2	0	2	//정상											
5	3	28	2	0	1	1	1	0	//정상											
5	4	2	3	0	2	2	0	2	//정상											
5	5	31	2	0	0	1	1	1	//정상											
5	6	15	2	0	0	0	1	1	//정상											
5	7	12	3	5	2	0	2	2	//정상											
5	8	30	2	0	1	0	1	1	//정상											
5	9	30	2	0	1	1	1	0	//정상											
6	0	20	2	0	0	1	0	1	//정상											
6	1	4	3	2	2	2	2	2	//정상											
6	2	4	1	0	1	1	1	1	//정상											
6	3	31	3	0	2	0	2	0	//정상											
6	4	28	2	0	1	1	0	1	//정상											
6	5	18	3	5	2	2	2	2	//정상											
6	6	9	2	0	0	0	1	1	//정상											
6	7	34	2	0	0	0	1	1	//정상											
6	8	15	3	3	0	0	2	2	//정상											
6	9	21	3	2	2	0	2	0	//정상											
7	0	11	2	0	1	1	0	1	//정상											
7	1	7	3	4	2	2	2	0	//정상											
7	2	27	3	3	2	2	0	2	//정상											
7	3	35	2	0	0	1	1	1	//정상											
7	4	15	3	1	2	2	2	2	//정상											
7	5	3	2	0	1	1	1	1	//정상											
7	6	26	2	0	0	0	1	1	//정상											
7	7	17	3	4	0	0	2	2	//정상											
7	8	28	2	0	0	0	1	1	//정상											
7	9	6	2	0	0	0	1	0	//정상											
8	0	24	2	0	1	1	0	1	//정상											
8	1	5	2	0	1	1	1	1	//정상											
8	2	4	3	1	2	2	2	2	//정상											
8	3	0	2	0	1	1	1	0	//정상											
8	4	13	2	0	1	1	0	1	//정상											
8	5	0	3	4	2	0	2	2	//정상											
8	6	18	2	0	0	0	1	1	//정상											
8	7	35	2	0	0	0	1	1	//정상											
8	8	22	3	2	0	0	2	2	//정상											
8	9	25	2	0	0	0	1	0	//정상											
9	0	3	2	0	1	0	0	1	//정상											
9	1	36	3	1	2	0	2	2	//정상											
9	2	13	2	0	1	0	1	0	//정상											
9	3	14	3	4	2	0	0	0	//정상											
9	4	31	2	0	1	0	0	1	//정상											
9	5	10	2	0	0	0	1	1	//정상											
9	6	7	3	4	0	0	2	2	//정상											
9	7	20	2	0	0	0	1	1	//정상											
9	8	9	2	0	0	0	1	1	//정상											
9	9	7	3	2	0	0	2	0	//정상											
end																				
// 맵 구성 번호	층	행 개수	열 개수																	
4	1	10	10																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	36	2	0	0	1	0	1	//정상											
0	1	37	3	4	0	2	2	2	//정상											
0	2	5	3	1	0	2	2	2	//정상											
0	3	30	2	0	0	0	1	1	//정상											
0	4	17	3	5	0	0	2	2	//정상											
0	5	13	2	0	0	0	1	1	//정상											
0	6	34	2	0	0	0	1	1	//정상											
0	7	26	3	1	0	0	2	2	//정상											
0	8	21	2	0	0	0	1	1	//정상											
0	9	20	2	0	0	0	1	0	//정상											
1	0	25	3	4	2	2	0	2	//정상											
1	1	19	2	0	1	1	1	1	//정상											
1	2	25	2	0	1	1	1	1	//정상											
1	3	31	3	4	0	2	2	2	//정상											
1	4	14	2	0	0	1	1	1	//정상											
1	5	21	3	0	0	2	2	2	//정상											
1	6	26	3	1	0	0	2	2	//정상											
1	7	33	2	0	0	0	1	1	//정상											
1	8	7	2	0	0	0	1	1	//정상											
1	9	29	3	4	0	0	2	0	//정상											
2	0	4	2	0	1	0	0	1	//정상											
2	1	17	2	0	1	0	1	1	//정상											
2	2	37	3	0	2	2	2	0	//정상											
2	3	28	2	0	1	1	0	1	//정상											
2	4	25	3	5	2	0	2	2	//정상											
2	5	15	2	0	1	1	1	1	//정상											
2	6	27	3	5	0	2	2	2	//정상											
2	7	35	2	0	0	1	1	1	//정상											
2	8	14	2	0	0	0	1	1	//정상											
2	9	12	3	0	0	0	2	0	//정상											
3	0	34	2	0	0	1	0	1	//정상											
3	1	28	3	5	0	0	2	2	//정상											
3	2	12	1	0	1	1	1	1	//정상											
3	3	5	3	3	2	2	2	2	//정상											
3	4	32	2	0	0	1	1	0	//정상											
3	5	21	3	1	2	2	0	2	//정상											
3	6	35	2	0	1	0	1	1	//정상											
3	7	15	2	0	1	0	1	1	//정상											
3	8	32	2	0	0	0	1	1	//정상											
3	9	30	2	0	0	0	1	0	//정상											
4	0	7	3	4	2	2	0	0	//정상											
4	1	17	2	0	0	1	0	1	//정상											
4	2	16	3	5	2	2	2	0	//정상											
4	3	8	2	0	1	1	0	0	//정상											
4	4	11	3	2	2	2	0	0	//정상											
4	5	1	2	0	1	1	0	1	//정상											
4	6	25	2	0	0	0	1	1	//정상											
4	7	34	3	0	0	0	2	2	//정상											
4	8	25	2	0	0	0	1	1	//정상											
4	9	33	3	5	0	0	2	0	//정상											
5	0	32	2	0	1	1	0	0	//정상											
5	1	5	3	0	2	2	0	2	//정상											
5	2	16	2	0	1	1	1	0	//정상											
5	3	7	2	0	1	1	0	0	//정상											
5	4	19	2	0	1	1	0	0	//정상											
5	5	15	3	4	2	2	0	2	//정상											
5	6	32	2	0	0	1	1	1	//정상											
5	7	10	2	0	0	0	1	1	//정상											
5	8	32	3	1	0	2	2	2	//정상											
5	9	31	2	0	0	0	1	0	//정상											
6	0	12	2	0	1	1	0	0	//정상											
6	1	6	2	0	1	1	0	1	//정상											
6	2	17	3	5	2	2	2	2	//정상											
6	3	19	3	3	2	2	2	0	//정상											
6	4	10	2	0	1	1	0	0	//정상											
6	5	30	2	0	1	1	0	0	//정상											
6	6	2	3	5	2	2	0	0	//정상											
6	7	1	2	0	0	1	0	1	//정상											
6	8	1	3	3	2	2	2	2	//정상											
6	9	0	2	0	0	1	1	0	//정상											
7	0	33	3	3	2	2	0	0	//정상											
7	1	19	3	3	2	2	0	2	//정상											
7	2	15	2	0	1	1	1	1	//정상											
7	3	26	2	0	1	1	1	0	//정상											
7	4	8	2	0	1	1	0	0	//정상											
7	5	11	3	2	2	0	0	0	//정상											
7	6	26	4	0	1	0	0	1	//정상											
7	7	15	3	1	2	2	2	2	//정상											
7	8	18	2	0	1	1	1	1	//정상											
7	9	23	2	0	1	1	1	0	//정상											
8	0	31	2	0	1	1	0	0	//정상											
8	1	1	2	0	1	1	0	0	//정상											
8	2	19	2	0	1	0	0	1	//정상											
8	3	1	3	3	2	2	2	0	//정상											
8	4	21	3	1	2	0	0	0	//정상											
8	5	8	2	0	0	1	0	1	//정상											
8	6	13	3	5	0	2	2	0	//정상											
8	7	31	2	0	1	1	0	1	//정상											
8	8	11	2	0	1	1	1	0	//정상											
8	9	6	3	0	2	2	0	0	//정상											
9	0	1	3	1	2	0	0	0	//정상											
9	1	12	3	1	2	0	0	2	//정상											
9	2	1	2	0	0	0	1	1	//정상											
9	3	14	2	0	1	0	1	1	//정상											
9	4	26	2	0	0	0	1	1	//정상											
9	5	4	3	2	2	0	2	2	//정상											
9	6	19	2	0	1	0	1	0	//정상											
9	7	20	3	3	2	0	0	2	//정상											
9	8	32	2	0	1	0	1	1	//정상											
9	9	16	2	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	층	행 개수	열 개수																	
5	1	10	10																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	1	2	0	0	1	0	1	//정상											
0	1	5	2	0	0	1	1	0	//정상											
0	2	20	2	0	0	1	0	0	//정상											
0	3	9	2	0	0	1	0	0	//정상											
0	4	9	2	0	0	1	0	0	//정상											
0	5	17	3	5	0	2	0	0	//정상											
0	6	32	3	2	0	0	0	2	//정상											
0	7	34	2	0	0	0	1	1	//정상											
0	8	4	2	0	0	0	1	1	//정상											
0	9	28	2	0	0	1	1	0	//정상											
1	0	6	3	3	2	2	0	2	//정상											
1	1	21	3	1	2	2	2	2	//정상											
1	2	8	3	1	2	2	2	2	//정상											
1	3	15	2	0	1	1	1	1	//정상											
1	4	23	2	0	1	1	1	0	//정상											
1	5	18	2	0	1	1	0	0	//정상											
1	6	0	3	3	0	0	0	2	//정상											
1	7	28	2	0	0	0	1	1	//정상											
1	8	6	2	0	0	0	1	1	//정상											
1	9	33	2	0	1	1	1	0	//정상											
2	0	1	3	0	2	2	0	2	//정상											
2	1	10	3	3	2	2	2	2	//정상											
2	2	1	2	0	1	1	1	1	//정상											
2	3	10	3	1	2	2	2	2	//정상											
2	4	15	2	0	1	1	1	0	//정상											
2	5	1	3	5	2	2	0	2	//정상											
2	6	14	4	0	0	0	1	1	//정상											
2	7	28	3	2	0	0	2	2	//정상											
2	8	12	2	0	0	0	1	1	//정상											
2	9	0	3	0	2	2	2	0	//정상											
3	0	24	2	0	1	1	0	1	//정상											
3	1	28	3	4	2	2	2	2	//정상											
3	2	20	2	0	1	0	1	1	//정상											
3	3	25	3	2	2	0	2	2	//정상											
3	4	29	2	0	1	0	1	1	//정상											
3	5	14	2	0	1	0	1	1	//정상											
3	6	12	3	5	0	2	2	2	//정상											
3	7	16	2	0	0	1	1	1	//정상											
3	8	20	2	0	0	1	1	0	//정상											
3	9	22	2	0	1	1	0	0	//정상											
4	0	5	2	0	1	1	0	1	//정상											
4	1	7	3	0	2	2	2	0	//정상											
4	2	3	3	3	0	2	0	2	//정상											
4	3	14	2	0	0	0	1	0	//정상											
4	4	21	3	1	0	2	0	0	//정상											
4	5	12	3	3	0	2	0	0	//정상											
4	6	36	2	0	1	1	0	1	//정상											
4	7	30	3	3	2	2	2	2	//정상											
