////////////////////////////////////////////////////////////////////////////////									
//	[ Text  Version ]	0.0.7.8							
//	[ 최종 작업자 ]	사재일							
//	[ 최종 작업일 ]	2015-08-11-04:53 PM							
//	[ 작 업 내 용 ]	대천사의무기 버프 스킬 추가							
////////////////////////////////////////////////////////////////////////////////									
//버프. 디버프에 상관없이 추가시 제일 뒤에 순차적으로 추가									
// 인벤 장착 아이템 관련 부분은 서버와 클라이언트가 다르게 적용되고 있으며									
// 클라이언트 용은 인벤장착 아이템부분 주석 처리, 서버용은 인벤장착 아이템 주석 해재 할것									
									
									
//Index	Viewport index	Item Index		Name	Type	알림	Clear type	설명	
166	95	255	255	"Blood Howl"	0	1	1	"HP is reduced every second."	0
167	95	255	255	"Blood Howl"	0	1	1	"HP is reduced every second."	0
169	96	255	255	"Penetrate Armor"	1	1	1	"Decreases defense and defense success rate."	0
170	109	14	172	"Magic Backpack1"	0	1	1	"Magic Backpack1"	0
171	110	14	173	"Magic Backpack2"	0	1	1	"Magic Backpack2"	0
172	111	14	174	"Magic Backpack3"	0	1	1	"Magic Backpack3"	0
173	112	14	175	"Magic Backpack4"	0	1	1	"Magic Backpack4"	0
174	98	255	255	"Fire"	1	0	1	"Total amount of SD is reduced to half."	0
175	99	255	255	"Frost"	1	0	1	"Total amount of MP is reduced to half."	0
176	100	255	255	"Tornado"	1	0	1	"Attack speed is reduced to half."	0
177	101	255	255	"Bind"	1	0	1	"Total amount of HP is reduced to half."	0
178	102	255	255	"Darkness"	1	0	1	"You can't do anything while you're stunned. "	0
179	103	255	255	"Fire Tower"	0	0	1	"ATK+25/EXP+20%/when fire equipped ATK&DEF+5%/set item drop chance(excludes Debenter)"	0
180	104	255	255	"Water Tower"	0	0	1	"DEF +50/EXP +20%/when Water equipped, ATK & DEF +5%/set item drop chance(excludes Debenter)"	0
181	105	255	255	"Wind Tower"	0	0	1	"CRIT+5%/EXP+20%/when Earth equipped ATK&DEF+5%/set item drop chance(excludes Debenter)"	0
182	106	255	255	"Earth Tower"	0	0	1	"ATK+30/EXP+20%/when Wind equipped, ATK&DEF+5%/set item drop chance(excludes Debenter)"	0
183	107	255	255	"Darkness Tower"	0	0	1	"DMG Rec.-10%/EXP+20%/when Darkness equipped, ATK&DEF+5%/set item drop chance(excludes Debenter)"	0
184	108	255	255	"Resurrection Penalty"	1	0	1	"Movement speed decreased for a certain period of time."	0
185	97	14	163	"Vault Expansion"	0	1	1	"Vault Expansion"	0
186	109	255	255	"Confusion"	1	0	1	"Movement speed decreased when hit by this."	0
187	255	255	255	"EXP Rewards"	1	0	1	"EXP increase by 20%/ possible set item drops."	0
190	115	13	177	"Talisman of Ascension I"	0	0	1	"Earning additional 50% EXP"	0
191	115	13	178	"Talisman of Ascension II"	0	0	1	"Earning additional 100% EXP"	0
192	115	13	179	"Talisman of Ascension III"	0	0	1	"Earning additional 200% EXP"	0
193	60	13	180	"Seal of Ascension II"	0	0	1	"Earning additional 100% EXP"	0
194	60	13	181	"Seal of Ascension II"	0	0	1	"Earning additional 100% EXP (For Master Level)"	0
195	116	14	224	"Bless of Light (Greater)"	0	0	1	"Earning additional 200% EXP after quick blessing"	0
196	45	14	225	"Scroll Master of Defense"	0	0	1	"Defense +120"	0
197	47	14	226	"Scroll Master of Wizardry"	0	0	1	"Wizardry +60"	0
198	48	14	227	"Scroll Master of Health"	0	0	1	"HP +400"	0
199	49	14	228	"Scroll Master of Mana"	0	0	1	"MP +600"	0
200	46	14	229	"Scroll Master of Wrath"	0	0	1	"Attack Power +60"	0
201	121	14	230	"Scroll Master of Recovery"	0	0	1	"Automatic HP Recovery +4%, HP +200"	0
202	89	14	231	"Scroll Master of Battle"	0	0	1	"Critical Damage +25%"	0
203	89	14	232	"Scroll Master of Strenghener"	0	0	1	"Excellent Damage +25%"	0
204	44	14	235	"Scroll Master of Quickness"	0	0	1	"Attack speed increase +20"	0
205	117	13	2	"Horn of Uniria"	0	1	1	"Summons Uniria to mount."	0
206	117	13	3	"Horn of Dinorant"	0	1	1	"Summons Dinorant to mount."	0
207	117	13	4	"Horn of Dark Horse"	0	1	1	"Summons Dark Horse to mount."	0
208	117	13	37	"Horn of Fenrir"	0	1	1	"Summons Fenrir to mount."	0
209	118	255	255	"Paralyze"	1	1	1	"Reduces your Mvmt SP by 50% by paralyzing your legs."	0
210	118	255	255	"Paralyze"	1	1	1	"Reduces your Mvmt SP by 50% by paralyzing your legs, and gives continual DMG."	0
211	119	255	255	"Internet Cafe"	0	0	1	"Extra XP/Chaos Castle in PC Cafe/Access to Kalima/Accum. Gob. Pts."	0
212	116	14	263	"Bless of Light (Low Grade)"	0	0	1	"Receiving the blessing for a short period of time, you acquire 50% of basic EXP additionally."	0
213	116	14	264	"Bless of Light (Middle Grade)"	0	0	1	"Receiving the blessing for a short period of time, you acquire 100% of basic EXP additionally."	0
214	120	255	255	"Evasion"	0	1	1	"Increases your block chance and makes you immune to immobilizing effect"	0
215	119	255	255	"Internet Cafe"	0	0	1	"Extra XP/Chaos Castle in PC Cafe/Acesss to Kalima/Accum. Gob. Pts./Stam. Sys. Disabled"	0
216	121	255	255	"Circle Shield"	0	1	1	"Chance to decrease opponent's AG by 10"	0
217	122	255	255	"Obsidian"	0	1	1	"Increases Skill Damage by %d"	1
218	123	255	255	"Wrath"	0	1	1	"Decreases Defense by 30%, increases Damage by 50%"	0
219	124	255	255	"Burst"	0	1	1	"Increases chance of True Damage"	0
220	122	255	255	"Obsidian PowUp"	0	1	1	"Increases Skill Damage by %d"	1
221	121	255	255	"Circle Shield PowUp"	0	1	1	"Chance to increase AG reduce effect by %d on hit."	1
222	121	255	255	"Circle Shield Mastery"	0	1	1	"Chance to increase AG reduce effect by %d on hit."	1
223	123	255	255	"Wrath PowUp"	0	1	1	"Decreases Defense by 30%, increases Damage by 50%"	0
224	123	255	255	"Wrath Proficiency"	0	1	1	"Decreases Defense by 30%, increases Damage by 50%"	0
225	123	255	255	"Wrath Mastery"	0	1	1	"Increases damage by 50%"	0
226	226	255	255	"Burst PowUp"	0	1	1	"Increases chance of True Damage"	0
227	125	255	255	"Awakening Success Effect"	0	0	1	"This is Evomon Awakening Success Effect."	0
228	126	255	255	"Awakening Failure Effect"	0	0	1	"This is Evomon Awakening Failure Effect"	0
229	227	255	255	"Berserker"	0	1	1	"Increases Damage."	0
230	228	255	255	"Clone"	0	1	1	"Summons a clone."	0
231	229	255	255	"Spin"	1	1	1	"Spins the target."	0
232	230	13	5	"Horn of Dark Spirit"	0	0	1	"Summon Dark Spirit"	0
237	115	13	476	""	0	0	1	""	0
238	235	255	255	"Bastion"	0	1	1	"Elemental Damage -90%."	0
239	236	255	255	"Hemorrhage"	1	1	1	"Bleeding Damage for every second."	0
240	237	255	255	"Paralysis"	1	1	1	"Movement speed and regeneration effect will be reduced. / (reduced effectiveness of Potions)"	0
241	238	255	255	"Bondage"	1	1	1	"Cannot move while Earth Power is holding the target's leg."	0
242	239	255	255	"Blindness"	1	1	1	"Blinds the target and reduces its Attack Success Rate by %d%%."	1
243	240	255	255	"Immune I"	0	1	1	"Becomes immune to Elemental Damage."	0
244	240	255	255	"Immune II"	0	1	1	"Becomes immune to every Debuff Effect."	0
245	241	255	255	"Berserker I"	0	1	1	"Greatly increases the Elemental Damage and Elemental Attack Rate temporarily."	0
246	242	255	255	"Archangel's will"	0	1	1	"Increases attack damage and skill damage."	0
247	243	255	255	"Ferea Party EXP buff"	0	1	1	"Up to 10% EXP gain is added on basic EXP/5% additional EXP per party member."	0
248	244	255	255	"Blessing of Lunedil"	0	0	1	"Experience Rise Stage 1: 5%"	0
249	244	255	255	"Blessing of Lunedil"	0	0	1	"Experience Rise Stage 2: 10%"	0
250	244	255	255	"Blessing of Lunedil"	0	0	1	"Experience Rise Stage 3: 15%"	0
251	244	255	255	"Blessing of Lunedil"	0	0	1	"Experience Rise Stage 4: 20%"	0
252	244	255	255	"Blessing of Lunedil"	0	0	1	"Experience Rise Stage 5: 25%"	0
253	116	14	371	"Bless of Light (Greater)"	0	0	1	"Receiving the blessing for a short period of time, you acquire 200% of basic EXP additionally."	0
254	116	14	372	"Bless of Light (Middle Grade)"	0	0	1	"Receiving the blessing for a short period of time, you acquire 100% of basic EXP additionally."	0
255	116	14	373	"Bless of Light (Low Grade)"	0	0	1	"Receiving the blessing for a short period of time, you acquire 50% of basic EXP additionally."	0
256	246	14	432	"[Increase]HP Elixir"	0	0	1	"Increases maximum HP +700."	0
257	246	14	433	"[Increase]Mana Elixir"	0	0	1	"Increases maximum Mana +700."	0
258	246	14	434	"[Increase]Speed Elixir"	0	0	1	"Increases attack speed +10."	0
259	247	14	435	"[Enhance]Attack Elixir"	0	0	1	"Increases attack power +40."	0
260	247	14	436	"[Enhance]Wizardry Elixir"	0	0	1	"Increases wizardry +40."	0
261	247	14	437	"[Enhance]Defense Elixir"	0	0	1	"Increases defense +100."	0
262	247	14	438	"[Enhance]Critical Elixir"	0	0	1	"Increases critical damage +85."	0
263	247	14	439	"[Enhance]Excellent Elixir"	0	0	1	"Increases excellent damage +85."	0
// 4차 전직 스킬강화트리 버프 등록 (2017-03-14 사재일)				""				""	0
264	256	255	255	"Swell Life Enhancement"	0	0	1	"Increases Swell Life HP"	0
265	257	255	255	"Mana Shield Enhancement"	0	0	1	"Increases Mana Shield Damage Reduction"	0
266	258	255	255	"Berserker Enhancement"	0	0	1	"Increases Berserker Attack Power"	0
267	259	255	255	"Berserker Enhancement"	0	0	1	"Eliminated Berserker Defense Reduction"	0
268	260	255	255	"Stamina Enhancement"	0	0	1	"Increases Stamina Effect"	0
269	261	255	255	"Wrath Enhancement"	0	0	1	"Increases Wrath Attack Power"	0
270	262	255	255	"Wrath Enhancement"	0	0	1	"Wrath defense reduction effect reduced"	0
271	263	255	255	"Decrease SD ratio"	0	0	1	"Decrease SD ratio"	0
272	264	255	255	"SD rise"	0	0	1	"SD rise"	0
273	265	255	255	"Poisoning"	1	0	1	"Poisoning"	0
274	266	255	255	"Chilling"	1	0	1	"Chilling"	0
275	267	255	255	"Bleeding"	1	0	1	"Bleeding"	0
276	268	255	255	"Shock"	1	0	1	"Shock"	0
277	269	255	255	"Deadly Poisoning"	1	0	1	"Deadly Poisoning"	0
278	270	255	255	"Freezing"	1	0	1	"Freezing"	0
279	271	255	255	"Hemorrhage"	1	0	1	"Hemorrhage"	0
280	272	255	255	"Shock"	1	0	1	"Shock"	0
281	273	255	255	"Increased SD reduction"	0	0	1	"Increased SD reduction"	0
//Season13 Part.1 사이드옵션 등록 (2017-08-02 사재일)				""				""	0
282	274	255	255	"Increases maximum HP"	0	0	1	"Increases maximum HP"	0
283	275	255	255	"4th stats"	0	0	1	"4th stats"	0
284	276	255	255	"Increases basic defense"	0	0	1	"Increases basic defense"	0
285	277	255	255	"Increases 4th wings defense"	0	0	1	"Increases 4th wings defense"	0
286	278	255	255	"Increases attack power"	0	0	1	"Increases attack power"	0
287	279	255	255	"Increases wizardy"	0	0	1	"Increases wizardy"	0
288	280	255	255	"4th stats"	0	0	1	"4th stats"	0
289	281	255	255	"Increases skill damage"	0	0	1	"Increases skill damage"	0
290	282	255	255	"Increases 4th wings damage"	0	0	1	"Increases 4th wings damage"	0
291	283	255	255	"Increases attack power/wizardy"	0	0	1	"Increases attack power/wizardy"	0
//스위치 스크롤 (2018-10-04 유혜성)				""				""	0
292	284	14	453	"Switch Mode Scroll"	0	0	1	"You can use the switch mode with CTRL + F."	0
// Season14 P.1 룬마법사 신규 버프스킬 2종 추가 (2018-10-08 박혜진)				""				""	0
293	285	255	255	"Burst"	0	1	1	"Increases damage and increases skill MP consumption."	0
294	286	255	255	"Haste"	0	1	1	"Increases attack speed and increases skill AG consumption."	0
295	285	255	255	"Burst Enhanced"	0	1	1	"Increases damage and increases skill MP consumption."	0
296	285	255	255	"Burst Mastery"	0	1	1	"Increases damage and increases skill MP consumption."	0
298	286	255	255	"Haste Enhanced"	0	1	1	"Increases attack speed and increases skill AG consumption."	0
299	286	255	255	"Haste Mastery"	0	1	1	"Increases attack speed and increases skill AG consumption."	0
// Season14 P.1 룬마법사 신규 버프스킬 2종 추가 (2018-10-08 박혜진)				""				""	0
301	288	255	255	"Darkness"	0	1	1	"Increases curse/defense, decreases maximum HP"	0
302	288	255	255	"Darkness"	0	1	1	"Increases curse/defense, decreases maximum HP"	0
303	288	255	255	"Darkness"	0	1	1	"Increases curse/defense"	0
304	43	255	255	"Weakness Mastery"	0	1	1	"Decreases damage."	0
305	43	255	255	"Innovation Mastery"	0	1	1	"Decreases defense."	0
306	289	255	255	"Deathside"	0	0	1	"Deathside attacks the enemy target with the character."	0
// 가디언 아이템 탈것 버프 설정 등록 (2019-04-15 사재일)				""				""	0
307	290	12	471	"Guardian Horse"	0	0	1	"Guardian Mount Item"	0
308	291	255	255	"Increases speed"	0	0	1	"Guardian Mount Item"	0
// 가디언 옵션 (2019-04-29 사재일)				""				""	0
309	292	255	255	"Elite Monster - Bleeding"	1	0	1	"Elite Monster - Bleeding"	0
310	293	255	255	"Elite Monster - Poison"	1	0	1	"Elite Monster - Poison"	0
311	294	255	255	"Elite Monster - Decreases Attack Damage"	1	0	1	"Elite Monster - Decreases Attack Damage"	0
312	295	255	255	"Elite Monster - Decreases Attack Speed"	1	0	1	"Elite Monster - Decreases Attack Speed"	0
313	296	255	255	"Elite Monster - Decreases Defense"	1	0	1	"Elite Monster - Decreases Defense"	0
314	283	255	255	"Increases wizardry/curse"	1	0	1	"Increases wizardry/curse"	0
// Season15 Part1 슬레이어 신규 버프스킬 추가 (2019-07-09 박혜진)				""				""	0
315	297	255	255	"Bat Flock"	1	0	1	"You take damage every second from bats"	0
316	298	255	255	"Detection"	0	0	1	"Temporarily detects the location of nearby creatures / (results remain for 1 minute)."	0
317	299	255	255	"Demolish"	0	1	1	"Ignores the enemy's defense by %d when attacking."	1
