//!!  Season11 P.1 이전 해당 스크립트 패치가 필요한 경우 사재일에게 문의 부탁 드립니다																	
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																	
//	[ Text  Version ]	0.0.0.5															
//	[ 최종 작업자 ]	김의건															
//	[ 최종 작업일 ]	2014-11-10 17:12															
//	[ 작 업 내 용 ]	초보자용 펜타그램 추가															
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																	
// 펜타그램 아이템 기본 옵션 추가 스크립트																	
// 펜타그램 옵션 리스트																	
//type	Index	Name	펜타그램 등급	Option1	Option2	Option3	Option4	Option5	Option6	Option7	옵션 확인용 1	옵션 확인용 2	옵션 확인용 3	옵션 확인용 4	옵션 확인용 5	옵션 확인용 6	옵션 확인용 7
// 일반																	
0																	
5	"Increase Errtel of Blessing Rank 1 Option +35"	0	1	0	1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	
																	
//레어 펜타그램 옵션 (인덱스 21 ~ 40까지 사용)																	
21	"Increase Pentagram DMG +10%%"	0	2	0	2	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	
22	"Increase Pentagram DEF +10%%"	1	2	0	3	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	
23	"Elemental Critical DMG Rate +5%%"	1	1	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
24	"Elemental Critical DMG Rate +10%%"	0	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
25	"Elemental Critical DMG Rate +25%%"	0	3	0	1	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	
26	"DEF Added to Elemental DEF +5%%"	0	3	0	1	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	
27	"DMG Added to Elemental DMG +1%%"	0	3	0	1	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	
28	"%s, %s Elemental DMG Perfect Dodge Rate +5%%"	1	2	0	2	1	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	
29	"Increase Elemental DMG +30"	0	3	0	2	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	
30	"Increase Elemental DEF +30"	1	3	0	3	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	
31	"Increase Errtel of Integrity Rank 1 Option +20 (unused option)"	2	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
32	"Increase Errtel of Divinity Rank 1 Option +20 (unused option)"	3	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
33	"Increase Errtel of Radiance Rank 1 Option +20 (unused option)"	4	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
34	"Pentagram DMG and DEF+5%%"	0	1	7	1	1	7	4	1	7	-1	-1	-1	-1	-1	-1	
																	
//유니크 펜타그램 옵션 (인덱스 41 ~ 60까지 사용)																	
41	"Elemental DMG Perfect Dodge Rate +5%%"	1	3	6	2	3	6	3	3	6	-1	-1	-1	-1	-1	-1	
42	"DEF Added to Elemental DEF +5%%"	0	3	5	1	3	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	
43	"DMG Added to Elemental DMG +1%%"	0	3	5	1	3	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	
end																	
																	
// 펜타그램 등급에 따른 소켓 개수에 대한 확률																	
// 소켓1, 2, 3, 4, 5 : 해당 소켓 만큼의 개수가 뚫릴 확률																	
// 펜타그램 등급 별 소켓 확률																	
//펜타그램 등급	소켓1	소켓2	소켓3	소켓4	소켓5												
2																	
2	0	0	7000	3000	0	// 레어 소켓 확률 (총합10000)											
3	0	0	0	10000	0	// 유니크 소켓 확률 (총합10000)											
end
