// 서버, 클라이언트 사용 스크립트																				
																				
//차원의 미궁 지역으로 사용할 기존 맵 설정																				
0																				
//인덱스	맵 번호	시작X	시작Y	종료X	종료Y															
4	5	1	3000	2	3000000	3	300000000	4	15000000	6	150	6	150	754	2	755	2	756	2	//약 720분
4	6	1	4000	2	4000000	3	400000000	4	20000000	6	200	6	200	754	2	755	2	756	2	//약 960분
end																				
																				
//맵 구성 설정																				
3																				
// 맵 구성 번호	단계	행 개수	열 개수																	
1	2	6	6																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	1	19	3	5	0	0	0	2	//정상											
0	2	5	2	0	0	0	1	1	//정상											
0	3	15	2	0	0	1	1	1	//정상											
0	4	17	2	0	0	0	1	1	//정상											
0	5	5	2	0	0	1	1	0	//정상											
1	1	12	2	0	0	1	0	0	//정상											
1	2	16	2	0	0	0	0	1	//정상											
1	3	18	2	0	1	0	1	1	//정상											
1	4	18	2	0	0	1	1	1	//정상											
1	5	16	3	0	2	2	2	0	//정상											
2	1	2	2	0	1	1	0	0	//정상											
2	2	15	4	1	0	1	0	0	//정상											
2	3	20	2	0	0	1	0	1	//정상											
2	4	7	3	2	2	2	2	0	//정상											
2	5	3	2	0	1	1	0	0	//정상											
3	0	10	2	0	0	1	0	1	//정상											
3	1	22	3	2	2	0	2	0	//정상											
3	2	2	3	0	2	0	0	2	//정상											
3	3	21	2	0	1	0	1	0	//정상											
3	4	18	2	0	1	0	0	1	//정상											
3	5	12	2	0	1	1	1	0	//정상											
4	0	20	2	0	1	1	0	0	//정상											
4	1	22	3	4	0	0	0	2	//정상											
4	2	11	2	0	0	0	1	1	//정상											
4	3	12	1	0	0	1	1	1	//정상											
4	4	2	3	3	0	2	2	2	//정상											
4	5	16	2	0	1	0	1	0	//정상											
5	0	16	2	0	1	0	0	1	//정상											
5	1	13	2	0	0	0	1	1	//정상											
5	2	22	2	0	0	0	1	1	//정상											
5	3	13	2	0	1	0	1	1	//정상											
5	4	14	2	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수		입력하지 않은 행, 열 번호는 모두 이동불가 지역으로 설정한다.															
2	1	5	5																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	1	13	3	3	0	2	0	0	//정상											
0	2	4	2	0	0	0	0	1	//정상											
0	3	5	3	0	0	2	2	0	//정상											
0	4	18	4	0	0	1	0	0	//정상											
1	0	16	2	0	0	1	0	1	//정상											
1	1	4	2	0	1	0	1	0	//정상											
1	3	22	2	0	1	1	0	1	//정상											
1	4	18	2	0	1	1	1	0	//정상											
2	0	8	1	0	1	1	0	1	//정상											
2	1	10	3	2	0	2	2	2	//정상											
2	2	20	2	0	0	1	1	1	//정상											
2	3	5	2	0	1	0	1	0	//정상											
2	4	2	3	6	2	2	0	0	//정상											
3	0	4	2	0	1	0	0	1	//정상											
3	1	5	2	0	1	1	1	1	//정상											
3	2	2	2	0	1	0	1	1	//정상											
3	3	23	3	4	0	2	2	0	//정상											
3	4	2	2	0	1	1	0	0	//정상											
4	1	23	2	0	1	0	0	1	//정상											
4	2	16	3	3	0	0	2	0	//정상											
4	3	6	2	0	1	0	0	1	//정상											
4	4	2	2	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
3	3	7	7																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	2	19	2	0	0	1	0	1	//정상											
0	3	6	2	0	0	0	1	1	//정상											
0	4	15	3	6	0	0	2	2	//정상											
0	5	19	2	0	0	1	1	0	//정상											
1	0	12	3	4	0	2	0	2	//정상											
1	1	4	2	0	0	0	1	1	//정상											
1	2	6	3	4	2	0	2	0	//정상											
1	3	11	3	6	0	2	0	0	//정상											
1	5	3	3	2	2	0	0	2	//정상											
1	6	24	2	0	0	1	1	0	//정상											
2	0	9	2	0	1	1	0	0	//정상											
2	1	0	2	0	0	1	0	1	//정상											
2	2	15	2	0	0	0	1	0	//정상											
2	3	2	2	0	1	1	0	1	//정상											
2	4	19	3	1	0	2	2	2	//정상											
2	5	19	2	0	0	1	1	1	//정상											
2	6	15	3	5	2	2	2	0	//정상											
3	0	18	1	0	1	1	0	1	//정상											
3	1	8	3	5	2	2	2	2	//정상											
3	2	4	3	3	0	2	2	2	//정상											
3	3	22	3	5	2	2	2	2	//정상											
3	4	11	2	0	1	1	1	1	//정상											
3	5	4	3	4	2	0	2	0	//정상											
3	6	4	2	0	1	1	0	0	//정상											
4	0	16	3	5	2	0	0	0	//정상											
4	1	24	2	0	1	1	0	0	//정상											
4	2	8	2	0	1	1	0	0	//정상											
4	3	7	3	1	2	0	0	2	//정상											
4	4	21	2	0	1	0	1	0	//정상											
4	5	1	4	2	0	1	0	1	//정상											
4	6	17	3	4	2	0	2	0	//정상											
5	1	4	3	4	2	2	0	0	//정상											
5	2	12	2	0	1	1	0	0	//정상											
5	4	22	2	0	0	1	0	1	//정상											
5	5	8	3	3	2	2	2	0	//정상											
6	1	3	2	0	1	0	0	1	//정상											
6	2	23	3	4	2	0	2	2	//정상											
6	3	9	2	0	0	0	1	1	//정상											
6	4	23	2	0	1	0	1	1	//정상											
6	5	13	3	5	2	0	2	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
4	1	5	5																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	5	1	0	0	1	0	1	//정상											
0	1	19	3	0	0	0	2	2	//정상											
0	2	16	2	0	0	1	1	0	//정상											
1	0	16	2	0	1	1	0	0	//정상											
1	1	6	2	0	0	1	0	1	//정상											
1	2	0	3	4	2	0	2	2	//정상											
1	3	8	2	0	0	1	1	1	//정상											
1	4	2	2	0	0	1	1	0	//정상											
2	0	15	2	0	1	1	0	0	//정상											
2	1	2	2	0	1	1	0	0	//정상											
2	3	4	2	0	1	1	0	1	//정상											
2	4	20	3	6	2	2	2	0	//정상											
3	0	5	3	0	2	2	0	2	//정상											
3	1	19	3	0	2	2	2	2	//정상											
3	2	1	2	0	0	0	1	1	//정상											
3	3	21	3	4	2	2	2	0	//정상											
3	4	4	2	0	1	1	0	0	//정상											
4	0	7	2	0	1	0	0	1	//정상											
4	1	5	2	0	1	0	1	1	//정상											
4	2	20	2	0	0	0	1	1	//정상											
4	3	3	2	0	1	0	1	0	//정상											
4	4	4	4	0	1	0	0	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
5	2	6	6																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	1	4	2	0	0	1	0	0	//정상											
0	3	4	3	6	0	2	0	0	//정상											
0	4	0	2	0	0	1	0	1	//정상											
0	5	12	3	5	0	2	2	0	//정상											
1	0	19	2	0	0	1	0	1	//정상											
1	1	16	3	1	2	0	2	2	//정상											
1	2	9	2	0	0	1	1	1	//정상											
1	3	2	3	4	2	2	2	0	//정상											
1	4	4	4	1	1	0	0	0	//정상											
1	5	19	2	0	1	1	0	0	//정상											
2	0	2	3	2	2	2	0	2	//정상											
2	1	24	2	0	0	1	1	1	//정상											
2	2	9	3	6	2	2	2	0	//정상											
2	3	0	2	0	1	1	0	1	//정상											
2	4	9	3	0	0	0	2	2	//정상											
2	5	16	2	0	1	1	1	0	//정상											
3	0	4	2	0	1	1	0	0	//정상											
3	1	14	2	0	1	0	0	0	//정상											
3	2	8	2	0	1	1	0	1	//정상											
3	3	20	3	5	2	2	2	0	//정상											
3	5	3	2	0	1	1	0	0	//정상											
4	0	13	2	0	1	1	0	1	//정상											
4	1	9	3	0	0	2	2	2	//정상											
4	2	19	3	6	2	0	2	2	//정상											
4	3	12	2	0	1	1	1	1	//정상											
4	4	14	3	6	0	2	2	0	//정상											
4	5	23	2	0	1	0	0	0	//정상											
5	0	13	1	0	1	0	0	1	//정상											
5	1	5	2	0	1	0	1	1	//정상											
5	2	12	3	1	0	0	2	0	//정상											
5	3	17	2	0	1	0	0	0	//정상											
5	4	10	2	0	1	0	0	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
6	3	7	7																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	1	15	2	0	0	1	0	1	//정상											
0	2	15	2	0	0	0	1	1	//정상											
0	3	11	2	0	0	0	1	1	//정상											
0	4	7	3	0	0	2	2	2	//정상											
0	5	14	2	0	0	0	1	1	//정상											
0	6	4	1	0	0	1	1	0	//정상											
1	0	4	3	2	0	2	0	2	//정상											
1	1	5	3	0	2	0	2	2	//정상											
1	2	10	2	0	0	1	1	0	//정상											
1	3	19	2	0	0	0	0	1	//정상											
1	4	15	2	0	1	1	1	0	//정상											
1	6	12	2	0	1	1	0	0	//정상											
2	0	14	3	1	2	2	0	2	//정상											
2	1	11	2	0	0	0	1	1	//정상											
2	2	17	3	4	2	0	2	0	//정상											
2	4	16	3	5	2	2	0	2	//정상											
2	5	21	2	0	0	1	1	1	//정상											
2	6	12	3	4	2	2	2	0	//정상											
3	0	5	2	0	1	1	0	1	//정상											
3	1	8	3	4	0	2	2	0	//정상											
3	3	15	3	1	0	2	0	2	//정상											
3	4	0	2	0	1	0	1	1	//정상											
3	5	5	3	4	2	2	2	0	//정상											
3	6	2	2	0	1	1	0	0	//정상											
4	0	18	3	5	2	2	0	2	//정상											
4	1	14	2	0	1	1	1	1	//정상											
4	2	20	2	0	0	0	1	0	//정상											
4	3	20	2	0	1	1	0	0	//정상											
4	4	14	2	0	0	0	0	1	//정상											
4	5	20	3	2	2	2	2	2	//정상											
4	6	6	3	5	2	2	2	0	//정상											
5	0	7	4	2	1	0	0	0	//정상											
5	1	22	3	3	2	2	0	2	//정상											
5	2	14	3	2	0	2	2	2	//정상											
5	3	0	3	3	2	2	2	2	//정상											
5	4	21	3	4	0	2	2	2	//정상											
5	5	13	2	0	1	0	1	1	//정상											
5	6	13	2	0	1	0	1	0	//정상											
6	0	13	2	0	0	0	0	1	//정상											
6	1	7	3	4	2	0	2	0	//정상											
6	2	17	2	0	1	0	0	1	//정상											
6	3	10	2	0	1	0	1	0	//정상											
6	4	24	2	0	1	0	0	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
7	1	5	5																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	7	2	0	0	1	0	1	//정상											
0	1	19	2	0	0	0	1	1	//정상											
0	2	17	2	0	0	1	1	0	//정상											
0	3	22	4	0	0	0	0	1	//정상											
0	4	24	2	0	0	1	1	0	//정상											
1	0	24	2	0	1	0	0	1	//정상											
1	1	12	3	4	0	2	2	2	//정상											
1	2	6	3	3	2	2	2	2	//정상											
1	3	9	2	0	0	0	1	1	//정상											
1	4	6	2	0	1	0	1	0	//정상											
2	1	18	2	0	1	1	0	1	//정상											
2	2	15	2	0	1	0	1	1	//정상											
2	3	14	3	0	0	0	2	2	//정상											
2	4	2	2	0	0	1	1	0	//정상											
3	0	7	2	0	0	1	0	1	//정상											
3	1	16	3	6	2	2	2	2	//정상											
3	2	12	2	0	0	0	1	0	//정상											
3	4	6	3	2	2	2	0	0	//정상											
4	0	0	2	0	1	0	0	1	//정상											
4	1	15	1	0	1	0	1	1	//정상											
4	2	22	2	0	0	0	1	1	//정상											
4	3	22	3	4	0	0	2	2	//정상											
4	4	13	2	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
8	1	5	5																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	1	16	2	0	0	1	0	1	//정상											
0	2	7	2	0	0	0	1	1	//정상											
0	3	24	2	0	0	0	1	1	//정상											
0	4	24	3	2	0	2	2	0	//정상											
1	0	1	2	0	0	1	0	1	//정상											
1	1	8	1	0	1	1	1	0	//정상											
1	2	20	4	0	0	1	0	0	//정상											
1	4	10	2	0	1	1	0	0	//정상											
2	0	14	2	0	1	1	0	0	//정상											
2	1	0	3	2	2	0	0	0	//정상											
2	2	9	2	0	1	0	0	1	//정상											
2	3	5	3	5	0	0	2	2	//정상											
2	4	24	3	3	2	2	2	0	//정상											
3	0	21	3	5	2	2	0	2	//정상											
3	1	15	2	0	0	0	1	1	//정상											
3	2	16	3	5	0	2	2	2	//정상											
3	3	20	2	0	0	0	1	1	//정상											
3	4	3	2	0	1	0	1	0	//정상											
4	0	3	2	0	1	0	0	0	//정상											
4	2	18	2	0	1	0	0	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
9	1	5	5																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	13	4	0	0	1	0	0	//정상											
0	1	19	2	0	0	0	0	1	//정상											
0	2	11	3	4	0	0	2	2	//정상											
0	3	23	2	0	0	0	1	1	//정상											
0	4	14	2	0	0	1	1	0	//정상											
1	0	8	2	0	1	1	0	0	//정상											
1	2	2	2	0	0	1	0	0	//정상											
1	4	11	2	0	1	1	0	0	//정상											
2	0	2	3	3	2	2	0	0	//정상											
2	1	22	2	0	0	1	0	1	//정상											
2	2	16	3	4	2	2	2	2	//정상											
2	3	12	2	0	0	0	1	1	//정상											
2	4	21	3	0	2	2	2	0	//정상											
3	0	24	2	0	1	0	0	1	//정상											
3	1	20	3	6	2	2	2	0	//정상											
3	2	22	2	0	1	1	0	1	//정상											
3	3	8	2	0	0	1	1	0	//정상											
3	4	1	2	0	1	1	0	0	//정상											
4	0	1	2	0	0	0	0	1	//정상											
4	1	16	3	3	2	0	2	2	//정상											
4	2	21	2	0	1	0	1	0	//정상											
4	3	12	2	0	1	0	0	1	//정상											
4	4	14	1	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
10	2	6	6																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	4	1	0	0	1	0	1	//정상											
0	1	19	2	0	0	1	1	1	//정상											
0	2	18	3	1	0	0	2	2	//정상											
0	3	2	2	0	0	1	1	0	//정상											
0	4	20	2	0	0	1	0	1	//정상											
0	5	13	2	0	0	1	1	0	//정상											
1	0	0	3	2	2	2	0	2	//정상											
1	1	1	3	3	2	2	2	0	//정상											
1	2	15	2	0	0	0	0	1	//정상											
1	3	2	3	5	2	2	2	2	//정상											
1	4	11	3	6	2	2	2	0	//정상											
1	5	11	2	0	1	1	0	0	//정상											
2	0	20	2	0	1	1	0	0	//정상											
2	1	5	2	0	1	1	0	0	//정상											
2	2	17	3	5	0	2	0	0	//정상											
2	3	15	2	0	1	1	0	0	//정상											
2	4	19	2	0	1	1	0	0	//정상											
2	5	23	2	0	1	1	0	0	//정상											
3	0	1	2	0	1	1	0	1	//정상											
3	1	6	2	0	1	1	1	1	//정상											
3	2	3	2	0	1	1	1	1	//정상											
3	3	5	2	0	1	1	1	0	//정상											
3	4	15	3	1	2	2	0	2	//정상											
3	5	7	3	6	2	2	2	0	//정상											
4	0	7	3	3	2	2	0	2	//정상											
4	1	10	3	2	2	2	2	2	//정상											
4	2	9	3	5	2	0	2	2	//정상											
4	3	18	3	5	2	2	2	0	//정상											
4	4	9	2	0	1	1	0	1	//정상											
4	5	1	2	0	1	1	1	0	//정상											
5	0	13	2	0	1	0	0	0	//정상											
5	1	2	2	0	1	0	0	1	//정상											
5	2	23	2	0	0	0	1	0	//정상											
5	3	22	2	0	1	0	0	0	//정상											
5	4	24	2	0	1	0	0	0	//정상											
5	5	22	4	1	1	0	0	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
11	2	6	6																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	7	3	3	0	2	0	2	//정상											
0	1	23	1	0	0	1	1	1	//정상											
0	2	14	2	0	0	0	1	1	//정상											
0	3	21	2	0	0	0	1	1	//정상											
0	4	8	2	0	0	0	1	1	//정상											
0	5	4	3	5	0	2	2	0	//정상											
1	0	11	2	0	1	1	0	1	//정상											
1	1	17	3	5	2	2	2	2	//정상											
1	2	4	3	6	0	2	2	2	//정상											
1	3	6	2	0	0	0	1	1	//정상											
1	4	22	3	2	0	0	2	0	//정상											
1	5	19	3	4	2	0	0	0	//정상											
2	0	20	2	0	1	0	0	0	//정상											
2	1	22	3	1	2	2	0	2	//정상											
2	2	4	2	0	1	1	1	0	//정상											
2	4	3	3	1	0	2	0	2	//정상											
2	5	3	2	0	0	0	1	0	//정상											
3	0	3	2	0	0	1	0	1	//정상											
3	1	23	2	0	1	0	1	0	//정상											
3	2	10	2	0	1	1	0	0	//정상											
3	3	14	2	0	0	1	0	1	//정상											
3	4	18	3	4	2	2	2	2	//정상											
3	5	0	2	0	0	1	1	0	//정상											
4	0	10	3	3	2	2	0	2	//정상											
4	1	6	2	0	0	1	1	0	//정상											
4	2	18	3	3	2	2	0	2	//정상											
4	3	11	3	1	2	2	2	0	//정상											
4	4	21	2	0	1	0	0	0	//정상											
4	5	15	2	0	1	1	0	0	//정상											
5	0	12	2	0	1	0	0	0	//정상											
5	1	8	2	0	1	0	0	1	//정상											
5	2	13	2	0	1	0	1	0	//정상											
5	3	1	2	0	1	0	0	0	//정상											
5	4	0	4	1	0	0	0	1	//정상											
5	5	10	2	0	1	0	1	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
12	2	6	6																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	9	2	0	0	1	0	1	//정상											
0	1	17	2	0	0	0	1	1	//정상											
0	2	16	1	0	0	1	1	1	//정상											
0	3	1	3	3	0	2	2	2	//정상											
0	4	24	2	0	0	0	1	1	//정상											
0	5	21	2	0	0	1	1	0	//정상											
1	0	10	3	6	2	2	0	2	//정상											
1	1	4	2	0	0	0	1	0	//정상											
1	2	6	3	2	2	0	0	2	//정상											
1	3	8	2	0	1	0	1	1	//정상											
1	4	23	3	0	0	0	2	2	//정상											
1	5	9	2	0	1	0	1	0	//정상											
2	0	23	2	0	1	1	0	0	//정상											
2	1	9	2	0	0	1	0	1	//정상											
2	2	14	2	0	0	0	1	1	//정상											
2	3	22	3	4	0	2	2	2	//정상											
2	4	1	2	0	0	0	1	1	//정상											
2	5	5	3	2	0	2	2	0	//정상											
3	0	11	2	0	1	1	0	0	//정상											
3	1	3	3	3	2	2	0	2	//정상											
3	2	6	2	0	0	0	1	0	//정상											
3	3	17	2	0	1	0	0	1	//정상											
3	4	24	3	0	0	0	2	0	//정상											
3	5	5	2	0	1	1	0	0	//정상											
4	0	8	2	0	1	1	0	1	//정상											
4	1	22	2	0	1	1	1	1	//정상											
4	2	3	2	0	0	1	1	0	//정상											
4	3	15	2	0	0	1	0	1	//정상											
4	4	23	2	0	0	1	1	1	//정상											
4	5	17	3	2	2	2	2	0	//정상											
5	0	13	3	6	2	0	0	0	//정상											
5	1	15	3	6	2	0	0	2	//정상											
5	2	23	2	0	1	0	1	0	//정상											
5	3	24	4	1	1	0	0	0	//정상											
5	4	22	2	0	1	0	0	1	//정상											
5	5	22	3	1	2	0	2	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
13	3	7	7																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	16	1	0	0	1	0	0	//정상											
0	1	23	4	2	0	1	0	0	//정상											
0	2	23	3	1	0	0	0	2	//정상											
0	3	13	2	0	0	0	1	1	//정상											
0	4	12	2	0	0	0	1	1	//정상											
0	5	10	2	0	0	0	1	1	//정상											
0	6	22	3	4	0	2	2	0	//정상											
1	0	2	2	0	1	1	0	0	//정상											
1	1	22	2	0	1	0	0	1	//정상											
1	2	19	2	0	0	0	1	1	//정상											
1	3	5	3	2	0	2	2	0	//정상											
1	4	2	2	0	0	1	0	1	//정상											
1	5	8	2	0	0	1	1	1	//정상											
1	6	10	3	5	2	2	2	0	//정상											
2	0	20	2	0	1	1	0	1	//정상											
2	1	14	2	0	0	0	1	0	//정상											
2	2	0	3	6	0	2	0	0	//정상											
2	3	20	2	0	1	0	0	1	//정상											
2	4	20	2	0	1	0	1	0	//정상											
2	5	5	3	2	2	2	0	2	//정상											
2	6	3	3	6	2	2	2	0	//정상											
3	0	18	2	0	1	1	0	1	//정상											
3	1	13	2	0	0	1	1	1	//정상											
3	2	4	3	4	2	0	2	2	//정상											
3	3	23	3	0	0	2	2	2	//정상											
3	4	18	3	0	0	0	2	0	//정상											
3	5	12	2	0	1	0	0	1	//정상											
3	6	20	2	0	1	1	1	0	//정상											
4	0	6	3	5	2	2	0	0	//정상											
4	1	10	3	4	2	2	0	2	//정상											
4	2	8	2	0	0	1	1	0	//정상											
4	3	17	3	3	2	2	0	0	//정상											
4	4	10	2	0	0	1	0	1	//정상											
4	5	8	2	0	0	1	1	0	//정상											
4	6	7	2	0	1	1	0	0	//정상											
5	0	21	2	0	1	1	0	1	//정상											
5	1	8	2	0	1	1	1	0	//정상											
5	2	7	2	0	1	1	0	1	//정상											
5	3	7	3	4	2	2	2	0	//정상											
5	4	10	3	5	2	2	0	0	//정상											
5	5	5	2	0	1	1	0	1	//정상											
5	6	3	2	0	1	1	1	0	//정상											
6	0	24	2	0	1	0	0	1	//정상											
6	1	20	3	1	2	0	2	0	//정상											
6	2	22	2	0	1	0	0	1	//정상											
6	3	3	2	0	1	0	1	1	//정상											
6	4	4	2	0	1	0	1	1	//정상											
6	5	21	3	5	2	0	2	2	//정상											
6	6	7	3	6	2	0	2	0	//정상											
end																				
// 맵 구성 번호	단계	행 개수	열 개수																	
14	3	7	7																	
//행 번호	열 번호	맵 인덱스	지역 타입	지역 인덱스	상	하	좌	우	//게이트 입력 체크											
0	0	20	4	2	0	1	0	0	//정상											
0	1	6	2	0	0	1	0	1	//정상											
0	2	22	2	0	0	0	1	1	//정상											
0	3	6	2	0	0	0	1	1	//정상											
0	4	11	3	3	0	2	2	2	//정상											
0	5	3	3	5	0	2	2	0	//정상											
0	6	8	3	0	0	2	0	0	//정상											
1	0	3	2	0	1	1	0	0	//정상											
1	1	22	3	2	2	2	0	2	//정상											
1	2	19	2	0	0	0	1	1	//정상											
1	3	8	2	0	0	1	1	1	//정상											
1	4	0	2	0	1	0	1	1	//정상											
1	5	12	3	0	2	2	2	2	//정상											
1	6	7	2	0	1	1	1	0	//정상											
2	0	18	3	6	2	2	0	0	//정상											
2	1	23	2	0	1	1	0	1	//정상											
2	2	13	3	2	0	2	2	2	//정상											
2	3	20	2	0	1	1	1	0	//정상											
2	4	24	3	6	0	0	0	2	//정상											
2	5	21	2	0	1	1	1	1	//정상											
2	6	24	2	0	1	1	1	0	//정상											
3	0	4	2	0	1	1	0	0	//정상											
3	1	19	3	0	2	2	0	2	//정상											
3	2	0	2	0	1	1	1	1	//정상											
3	3	17	2	0	1	0	1	1	//정상											
3	4	18	3	3	0	2	2	0	//정상											
3	5	2	2	0	1	1	0	0	//정상											
3	6	7	3	6	2	2	0	0	//정상											
