/////////////////////////////////////////////////////////////////////////														
// 최초 적용일	Season11 P.2													
// 스크립트 사용	서버/클라이언트 공용													
// 스크립트 이름	SocketItemUpgrade													
// 문서 버전	0.0.0.1													
// 최종 작업자	사재일													
// 최종 작업일	2016-06-13 16:08													
// 작업 내용	소켓업그레이 조합													
/////////////////////////////////////////////////////////////////////////														
// 0번 테이블은 메인조합재료 소켓아이템 조건을 설정한다.														
// 1번 테이블은 서브조합재료 조건을 설정한다.  (ID :Min ~ Max 설정가능)														
// 2번 테이블은 조합성공 시 조합결과 아이템 조건을 설정한다. 														
// 3번 테이블은 조합실패 시 조합결과 아이템 조건을 설정한다.														
//														
// 예시1 ) 0번 테이블에서 7번 ID에 등록된 메인조합재료가 등록되는 경우 1, 2, 3번 테이블의 7번 조합설정을 갖게 된다.														
//														
0	// 메인조합재료													
//ID	itemType	ItemIndex	Level (min)	Level (max)	skill	Option	시드스피어 장착여부	최소 소켓개수 조건	ZEN	Success rate(1/10000)				
61	8000	6	41	0	0	2000	0	2000	0	3000	4500	2500	0	0
62	8000	7	149	0	0	2000	0	2000	0	3000	4500	2500	0	0
63	8000	8	149	0	0	2000	0	2000	0	3000	4500	2500	0	0
64	8000	9	149	0	0	2000	0	2000	0	3000	4500	2500	0	0
65	8000	10	149	0	0	2000	0	2000	0	3000	4500	2500	0	0
66	8000	11	149	0	0	2000	0	2000	0	3000	4500	2500	0	0
67	8000	6	22	0	0	2000	0	2000	0	3000	4500	2500	0	0
end														
3	// 조합 실패 시 결과 (이외 아이템 소멸)													
//ID	fail result	itemType	ItemIndex	Item Level 	Item Level Condition	dur	Skill	Option 	Luck	seed sphere	socket slot 			
0	1	5	31	-1	-1	-1	-1	-1	-1	0	-1			
1	1	6	20	-1	-1	-1	-1	-1	-1	0	-1			
2	1	7	52	-1	-1	-1	-1	-1	-1	0	-1			
3	1	8	52	-1	-1	-1	-1	-1	-1	0	-1			
4	1	9	52	-1	-1	-1	-1	-1	-1	0	-1			
5	1	10	52	-1	-1	-1	-1	-1	-1	0	-1			
6	1	11	52	-1	-1	-1	-1	-1	-1	0	-1			
7	1	0	26	-1	-1	-1	-1	-1	-1	0	-1			
8	1	7	45	-1	-1	-1	-1	-1	-1	0	-1			
9	1	8	45	-1	-1	-1	-1	-1	-1	0	-1			
10	1	9	45	-1	-1	-1	-1	-1	-1	0	-1			
11	1	10	45	-1	-1	-1	-1	-1	-1	0	-1			
12	1	11	45	-1	-1	-1	-1	-1	-1	0	-1			
13	1	0	27	-1	-1	-1	-1	-1	-1	0	-1			
14	1	7	46	-1	-1	-1	-1	-1	-1	0	-1			
15	1	8	46	-1	-1	-1	-1	-1	-1	0	-1			
16	1	9	46	-1	-1	-1	-1	-1	-1	0	-1			
17	1	10	46	-1	-1	-1	-1	-1	-1	0	-1			
18	1	11	46	-1	-1	-1	-1	-1	-1	0	-1			
19	1	4	23	-1	-1	-1	-1	-1	-1	0	-1			
20	1	6	19	-1	-1	-1	-1	-1	-1	0	-1			
21	1	7	49	-1	-1	-1	-1	-1	-1	0	-1			
22	1	8	49	-1	-1	-1	-1	-1	-1	0	-1			
23	1	9	49	-1	-1	-1	-1	-1	-1	0	-1			
24	1	10	49	-1	-1	-1	-1	-1	-1	0	-1			
25	1	11	49	-1	-1	-1	-1	-1	-1	0	-1			
26	1	7	50	-1	-1	-1	-1	-1	-1	0	-1			
27	1	8	50	-1	-1	-1	-1	-1	-1	0	-1			
28	1	9	50	-1	-1	-1	-1	-1	-1	0	-1			
29	1	10	50	-1	-1	-1	-1	-1	-1	0	-1			
30	1	11	50	-1	-1	-1	-1	-1	-1	0	-1			
31	1	0	28	-1	-1	-1	-1	-1	-1	0	-1			
32	1	5	30	-1	-1	-1	-1	-1	-1	0	-1			
33	1	6	18	-1	-1	-1	-1	-1	-1	0	-1			
34	1	8	47	-1	-1	-1	-1	-1	-1	0	-1			
35	1	9	47	-1	-1	-1	-1	-1	-1	0	-1			
36	1	10	47	-1	-1	-1	-1	-1	-1	0	-1			
37	1	11	47	-1	-1	-1	-1	-1	-1	0	-1			
38	1	5	30	-1	-1	-1	-1	-1	-1	0	-1			
39	1	8	48	-1	-1	-1	-1	-1	-1	0	-1			
40	1	9	48	-1	-1	-1	-1	-1	-1	0	-1			
41	1	10	48	-1	-1	-1	-1	-1	-1	0	-1			
42	1	11	48	-1	-1	-1	-1	-1	-1	0	-1			
43	1	2	17	-1	-1	-1	-1	-1	-1	0	-1			
44	1	7	51	-1	-1	-1	-1	-1	-1	0	-1			
45	1	8	51	-1	-1	-1	-1	-1	-1	0	-1			
46	1	9	51	-1	-1	-1	-1	-1	-1	0	-1			
47	1	10	51	-1	-1	-1	-1	-1	-1	0	-1			
48	1	11	51	-1	-1	-1	-1	-1	-1	0	-1			
49	1	5	20	-1	-1	-1	-1	-1	-1	0	-1			
50	1	7	44	-1	-1	-1	-1	-1	-1	0	-1			
51	1	8	44	-1	-1	-1	-1	-1	-1	0	-1			
52	1	9	44	-1	-1	-1	-1	-1	-1	0	-1			
53	1	10	44	-1	-1	-1	-1	-1	-1	0	-1			
54	1	11	44	-1	-1	-1	-1	-1	-1	0	-1			
55	1	0	52	-1	-1	-1	-1	-1	-1	0	-1			
56	1	7	146	-1	-1	-1	-1	-1	-1	0	-1			
57	1	8	146	-1	-1	-1	-1	-1	-1	0	-1			
58	1	9	146	-1	-1	-1	-1	-1	-1	0	-1			
59	1	11	146	-1	-1	-1	-1	-1	-1	0	-1			
60	1	3	22	-1	-1	-1	-1	-1	-1	0	-1			
61	1	6	40	-1	-1	-1	-1	-1	-1	0	-1			
62	1	7	148	-1	-1	-1	-1	-1	-1	0	-1			
63	1	8	148	-1	-1	-1	-1	-1	-1	0	-1			
64	1	9	148	-1	-1	-1	-1	-1	-1	0	-1			
65	1	10	148	-1	-1	-1	-1	-1	-1	0	-1			
66	1	11	148	-1	-1	-1	-1	-1	-1	0	-1			
67	1	6	17	-1	-1	-1	-1	-1	-1	0	-1			
end														
end														
