////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																								
//	[ Text  Version ]				0.0.0.8																																			
//	[File Name]				ItemLevelTooltip.txt																																			
//	[서버/클라]				클라이언트 전용																																			
//	[ 최종 작업자 ]				사재일																																			
//	[ 최종 작업일 ]				2014-07-22 3:24 PM																																			
//	[ 작 업 내 용 ]				시련의광장(Battle) 경험치보상사용불가로 제거																																			
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																								
// 아이템의 레벨에 따라서 아이템 자체가 달라지는 경우 이곳에 입력 (기존의 아이템을 변경 할 수 없어서 만들어짐, 이후 제작되는 아이템은 절대 이 방법을 쓰지 말것!!)																																								
//Index	Item Name	ItemType	ItemIndex	Level	Name Color	Name Bold	Sell Ban	Desc 1 Idx	1 Color	1 Bold	Desc 2 Idx	2 Color	2 Bold	Desc 3 Idx	3 Color	3 Bold	Desc 4 Idx	4 Color	4 Bold	Desc 5 Idx	5 Color	5 Bold	Desc 6 Idx	6 Color	6 Bold	Desc 7 Idx	7 Color	7 Bold	Desc 8 Idx	8 Color	8 Bold	Desc 9 Idx	9 Color	9 Bold	Desc 10 Idx	10 Color	10 Bold	Desc 11 Idx	11 Color	11 Bold
//WORD	CHAR[64]	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	SHORT	BYTE	BYTE	SHORT	BYTE	BYTE	SHORT	BYTE	BYTE	SHORT	BYTE	BYTE	SHORT	BYTE	BYTE	SHORT	BYTE	BYTE	SHORT	BYTE	BYTE	SHORT	BYTE	BYTE	SHORT	BYTE	BYTE	SHORT	BYTE	BYTE	SHORT	BYTE	BYTE
10	"Golden Medal"	14	11	6	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
11	"Box of Heaven"	14	11	7	3	1	1	287	0	0	288	0	0	289	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
12	"Box of Kundun +1"	14	11	8	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
13	"Box of Kundun +2"	14	11	9	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
14	"Box of Kundun +3"	14	11	10	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
15	"Box of Kundun +4"	14	11	11	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
16	"Box of Kundun +5"	14	11	12	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
17	"Heart of a Dark Lord"	14	11	13	3	1	1	40	0	0	286	2	0	196	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
18	"Lucky Blue Pouch"	14	11	14	3	1	1	290	0	0	291	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
19	"Lucky Red Pouch"	14	11	15	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
20	"Town Portal Scroll"	14	10	0	0	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
21	"Lorencia Warp Scroll"	14	10	1	0	1	0	292	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
22	"Noria Warp Scroll"	14	10	2	0	1	0	292	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
23	"Devias Warp Scroll"	14	10	3	0	1	0	292	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
24	"Dungeon Warp Scroll"	14	10	4	0	1	0	292	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
25	"Atlans Warp Scroll"	14	10	5	0	1	0	292	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
26	"Lost Tower Warp Scroll"	14	10	6	0	1	0	292	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
27	"Tarkan Warp Scroll"	14	10	7	0	1	0	292	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
28	"Icarus Warp Scroll"	14	10	8	0	1	0	292	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
29	"Zen"	14	12	0	0	1	0	188	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
30	"Heart"	14	12	1	0	1	0	188	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
31	"ENG Fruit"	13	15	0	3	1	0	293	0	0	298	0	0	96	5	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
32	"STA Fruit"	13	15	1	3	1	0	294	0	0	299	0	0	96	5	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
33	"AGI Fruit"	13	15	2	3	1	0	295	0	0	300	0	0	96	5	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
34	"STR Fruit"	13	15	3	3	1	0	296	0	0	301	0	0	96	5	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
35	"CMD Fruit"	13	15	4	3	1	0	297	0	0	302	0	0	96	5	0	98	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
36	"Loch's Feather"	13	14	0	3	1	0	303	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
37	"Monarch's Crest"	13	14	1	3	1	0	304	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
38	"Rena"	14	21	0	3	1	1	349	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
39	"Stone"	14	21	1	3	1	1	305	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
40	"Stone of Friendship"	14	21	2	3	1	1	306	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
41	"Sign of Lord"	14	21	3	3	1	0	307	0	0	2	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
42	"Absolute Staff of the Archangel"	13	19	0	0	1	1	195	0	0	344	5	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
43	"Absolute Sword of the Archangel"	13	19	1	0	1	1	195	0	0	344	5	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
44	"Absolute Crossbow of the Archangel"	13	19	2	0	1	1	195	0	0	344	5	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
45	"Wizard's Ring"	13	20	0	3	1	1	8	0	0	68	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
46	"Champion's Ring"	13	20	1	3	1	1	308	0	0	196	2	0	197	2	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
47	"Warrior's Ring"	13	20	2	3	1	1	309	0	0	196	2	0	197	2	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
48	"Ring of Glory"	13	20	3	3	1	0	8	0	0	68	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
49	"Potion of Bless"	14	7	0	0	1	0	310	5	0	311	5	0	312	5	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
50	"Potion of Soul"	14	7	1	0	1	0	313	5	0	314	5	0	348	5	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
51	"Archer"	13	7	2	0	1	0	346	3	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
52	"Spearman"	13	7	3	0	1	0	347	3	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
53	"Guardian's Scroll"	13	11	0	0	1	0	315	3	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
54	"Life Stone"	13	11	1	0	1	0	316	3	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
55	"Ale"	14	9	0	0	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
56	"Olive of Love"	14	9	1	0	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
57	"Soul of a Dark Horse"	13	31	0	0	1	0	317	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
58	"Soul of a Dark Spirit"	13	31	1	0	1	0	318	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
59	"Gem of Mystery"	12	26	0	3	1	0	287	0	0	319	0	0	289	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
60	"Red Crystal"	12	26	1	3	1	0	320	0	0	197	2	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
61	"Blue Crystal"	12	26	2	3	1	0	320	0	0	197	2	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
62	"Black Crystal"	12	26	3	3	1	0	320	0	0	197	2	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
63	"Treasure Box"	12	26	4	3	1	0	40	0	0	197	2	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
64	"Gift of Fate"	12	26	5	3	1	0	40	0	0	197	2	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
65	"Pink Chocolate Box"	14	32	0	0	1	0	205	6	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
66	"Lilac Candy Box"	14	32	1	0	1	0	205	6	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
67	"Red Chocolate Box"	14	33	0	0	1	0	205	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
68	"Orange Candy Box"	14	33	1	0	1	0	205	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
69	"Blue Chocolate Box"	14	34	0	0	1	0	205	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
70	"Navy Candy Box"	14	34	1	0	1	0	205	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
71	"Love Remedy"	14	20	0	0	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
72	"Anniversary Box +1"	14	20	1	0	1	1	40	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
73	"Anniversary Box +2"	14	20	2	0	1	1	40	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
74	"Anniversary Box +3"	14	20	3	0	1	1	40	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
75	"Anniversary Box +4"	14	20	4	0	1	1	40	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
76	"Anniversary Box +5"	14	20	5	0	1	1	40	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
77	"Talisman of Mobility"	13	70	0	0	1	1	115	1	0	-1	0	0	328	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
78	"Talisman of Mobility +1"	13	70	1	0	1	1	115	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
79	"Talisman of Mobility +2"	13	70	2	0	1	1	115	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
80	"Bolt"	4	7	0	0	1	0	2	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
81	"Bolt +1"	4	7	1	0	1	0	2	0	0	324	1	0	327	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
82	"Bolt +2"	4	7	2	0	1	0	2	0	0	325	1	0	327	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
83	"Bolt +3"	4	7	3	0	1	0	2	0	0	326	1	0	327	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
84	"Arrow"	4	15	0	0	1	0	2	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
85	"Arrow +1"	4	15	1	0	1	0	2	0	0	324	1	0	327	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
86	"Arrow +2"	4	15	2	0	1	0	2	0	0	325	1	0	327	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
87	"Arrow +3"	4	15	3	0	1	0	2	0	0	326	1	0	327	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
88	"Horn of Fenrir"	13	37	0	0	1	0	174	1	0	495	1	0	56	0	0	9	0	0	10	2	0	329	1	0	330	3	0	177	1	0	-1	0	0	-1	0	0	-1	0	0
89	"Horn of Fenrir +Destroy"	13	37	1	0	1	0	174	1	0	495	1	0	56	0	0	9	0	0	10	2	0	329	1	0	332	1	0	25	1	0	330	3	0	177	1	0	-1	0	0
90	"Horn of Fenrir +Protect"	13	37	2	0	1	0	174	1	0	495	1	0	56	0	0	9	0	0	10	2	0	329	1	0	350	1	0	25	1	0	330	3	0	177	1	0	-1	0	0
91	"Horn of Fenrir +Illusion"	13	37	3	0	1	0	174	1	0	495	1	0	56	0	0	9	0	0	10	2	0	329	1	0	334	1	0	335	1	0	336	4	0	330	3	0	177	1	0
92	"Budge Dragon Transformation Ring"	13	10	0	0	1	0	61	0	0	9	0	0	10	2	0	60	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
93	"Giant Transformation Ring"	13	10	1	0	1	0	61	0	0	9	0	0	10	2	0	60	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
94	"Skeleton Warrior Transformation Ring"	13	10	2	0	1	0	61	0	0	9	0	0	10	2	0	60	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
95	"Poison Bull Fighter Transformation Ring"	13	10	3	0	1	0	61	0	0	9	0	0	10	2	0	60	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
96	"Thunder Lich Transformation Ring"	13	10	4	0	1	0	61	0	0	9	0	0	10	2	0	60	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
97	"Death Cow Transformation Ring"	13	10	5	0	1	0	61	0	0	9	0	0	10	2	0	60	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
98	"Goblin Summoning Orb"	12	11	0	0	1	0	17	0	0	18	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
99	"Stone Golem Summoning Orb"	12	11	1	0	1	0	17	0	0	18	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
100	"Assassin Summoning Orb"	12	11	2	0	1	0	17	0	0	18	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
101	"Elite Yeti Summoning Orb"	12	11	3	0	1	0	17	0	0	18	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
102	"Dark Knight Summoning Orb"	12	11	4	0	1	0	17	0	0	18	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
103	"Bali Summoning Orb"	12	11	5	0	1	0	17	0	0	18	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
104	"Soldier Summoning Orb"	12	11	6	0	1	0	17	0	0	18	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
end																																								
