//type	index	red	green	blue	meshIndex
5	43	0	0	0	2
5	44	204	216	229	-1
5	45	0	127	255	-1
5	46	255	51	0	-1
5	49	255	178	63	-1
5	50	255	178	63	-1
5	51	229	178	114	-1
5	52	217	197	117	-1
5	53	190	142	69	0
5	53	0	0	0	1
5	53	0	0	0	2
5	53	0	0	0	3
5	53	0	0	0	4
5	54	190	142	69	0
5	54	190	142	69	2
5	55	0	0	0	0
5	55	255	52	0	1
5	55	0	0	0	2
5	55	0	0	0	3
5	56	255	118	0	0
5	56	0	0	0	1
5	61	108	127	139	0
5	61	0	0	0	1
5	61	0	0	0	2
5	61	0	0	0	3
5	62	115	127	170	0
5	62	0	0	0	1
5	62	0	0	0	2
6	16	153	204	102	-1
6	19	51	178	76	-1
6	20	127	127	178	-1
6	21	178	76	76	-1
6	22	204	216	229	-1
6	23	165	76	63	-1
6	24	229	0	0	-1
6	25	165	165	140	-1
6	26	0	127	255	-1
6	29	102	204	255	-1
6	30	229	204	255	-1
6	31	204	51	25	-1
6	32	229	204	63	-1
6	33	204	216	229	-1
6	34	204	216	229	-1
6	35	204	216	229	-1
6	36	204	216	229	-1
6	38	178	76	76	-1
6	39	229	204	255	-1
6	40	127	178	255	-1
6	41	216	153	153	-1
6	42	51	68	162	0
6	42	0	0	0	1
6	42	0	0	0	4
6	43	153	204	102	0
6	44	204	40	28	0
6	45	58	64	29	0
6	46	117	113	87	0
6	47	193	144	77	0
6	47	0	0	0	3
6	48	122	139	168	0
6	49	215	89	0	0
6	49	0	0	0	2
6	49	24	31	18	3
6	49	0	0	0	4
7	1	255	51	0	-1
7	3	0	127	255	-1
7	4	255	255	255	-1
7	6	153	204	102	-1
7	7	204	178	102	-1
7	9	0	127	255	-1
7	12	0	127	255	-1
7	13	0	204	102	-1
7	14	255	255	255	-1
7	15	229	204	255	-1
7	16	191	165	127	-1
7	17	127	127	204	-1
7	18	255	255	255	-1
7	19	127	127	204	-1
7	20	127	127	204	-1
7	21	204	117	63	-1
7	22	165	114	76	-1
7	23	89	89	153	-1
7	24	204	117	63	-1
7	25	89	89	153	-1
7	26	119	170	153	-1
7	27	191	165	127	-1
7	28	51	76	153	-1
7	29	127	102	76	-1
7	30	94	94	255	-1
7	31	76	178	76	-1
7	32	127	102	255	-1
7	33	114	114	58	-1
7	34	153	127	51	-1
7	35	153	153	153	-1
7	36	76	178	76	-1
7	37	127	153	178	-1
7	38	114	114	58	-1
7	39	51	178	76	-1
7	40	178	76	76	-1
7	41	178	127	76	-1
7	42	127	51	178	-1
7	43	204	102	153	-1
7	44	153	102	204	-1
7	45	127	127	178	-1
7	46	204	102	0	-1
7	47	178	127	178	-1
7	48	255	51	0	-1
7	49	178	102	102	-1
7	50	76	153	102	-1
7	51	178	51	51	-1
7	52	127	127	178	-1
7	53	178	51	51	-1
7	54	204	216	229	-1
7	55	229	0	0	-1
7	56	153	204	102	-1
7	57	229	0	0	-1
7	58	0	127	255	-1
7	59	204	117	63	-1
7	60	204	102	0	-1
7	61	127	102	76	-1
7	73	127	204	229	-1
7	74	204	153	51	-1
7	75	165	76	63	-1
7	76	204	216	229	-1
7	77	255	229	153	-1
7	78	255	51	0	-1
7	79	0	127	255	-1
7	80	255	255	255	-1
7	81	89	89	153	-1
7	82	178	76	76	-1
7	83	204	117	63	-1
7	91	102	178	255	-1
7	92	127	204	165	-1
7	93	229	204	255	-1
7	94	191	255	153	-1
7	95	127	76	25	-1
7	98	204	216	229	-1
7	99	204	216	229	-1
7	100	204	216	229	-1
7	101	204	216	229	-1
7	102	204	216	229	-1
7	103	204	216	229	-1
7	104	204	216	229	-1
7	105	204	216	229	-1
7	106	255	146	76	-1
7	107	255	146	76	-1
7	108	255	146	76	-1
7	109	255	146	76	-1
7	110	255	146	76	-1
7	111	255	146	76	-1
7	112	255	146	76	-1
7	113	255	146	76	-1
7	114	255	146	76	-1
7	115	204	216	229	-1
7	116	0	0	0	0
7	116	141	124	58	1
7	117	166	115	52	0
7	117	166	73	11	1
7	117	204	114	51	2
7	118	110	113	217	0
7	118	0	0	0	1
7	119	160	60	61	0
7	119	0	0	0	1
7	120	49	79	51	0
7	120	0	0	0	1
7	121	32	81	61	0
7	121	0	0	0	1
7	122	81	78	172	0
7	122	0	0	0	1
7	123	165	127	51	0
7	123	0	0	0	2
7	124	204	216	229	-1
7	125	110	113	217	0
7	125	0	0	0	1
7	126	110	113	217	0
7	127	204	216	229	-1
7	128	204	216	229	-1
7	129	204	216	229	-1
7	130	255	51	0	-1
7	131	0	127	255	-1
7	132	255	255	255	-1
7	133	229	204	255	-1
7	134	119	170	153	-1
7	135	178	76	76	-1
7	136	204	102	0	-1
7	138	140	140	191	-1
7	139	76	76	204	-1
7	140	178	153	140	-1
7	141	204	127	178	-1
7	142	114	96	51	-1
7	143	102	153	132	-1
7	144	178	153	102	-1
7	145	165	127	51	-1
7	146	89	165	255	-1
7	147	229	178	114	-1
7	148	127	178	255	-1
7	149	216	153	153	-1
7	150	122	147	99	-1
7	151	122	147	99	-1
7	152	122	147	99	-1
7	153	122	147	99	-1
7	154	122	147	99	-1
7	155	122	147	99	-1
7	156	122	147	99	-1
7	157	122	147	99	-1
7	164	68	89	183	0
7	164	82	69	48	1
7	164	0	0	0	2
7	165	0	0	0	0
7	165	82	69	48	1
7	165	68	89	183	2
7	166	0	0	0	0
7	166	68	89	183	1
7	166	0	0	0	2
7	167	0	0	0	0
7	167	0	0	0	1
7	167	68	89	183	2
7	167	0	0	0	3
7	169	0	0	0	0
7	169	0	0	0	1
7	169	68	89	183	2
7	169	82	69	48	3
7	170	82	69	48	0
7	170	68	89	183	1
7	170	0	0	0	2
7	170	0	0	0	3
7	171	82	69	48	0
7	171	68	89	183	1
7	171	0	0	0	2
7	171	0	0	0	3
7	172	0	0	0	0
7	172	68	89	183	1
7	172	0	0	0	2
7	174	40	0	30	0
7	174	0	0	0	1
7	174	0	0	0	2
7	175	32	19	0	0
7	175	0	0	0	1
7	175	0	0	0	2
7	176	0	55	0	0
7	176	0	0	0	1
7	176	0	127	0	2
7	177	112	0	0	0
7	177	0	0	0	1
7	178	66	66	111	0
7	178	0	0	0	1
7	179	77	11	11	0
7	179	0	0	0	1
7	180	66	66	111	0
7	180	204	216	229	1
7	180	0	0	0	2
7	181	114	96	51	0
7	181	114	96	51	1
7	181	0	0	0	2
7	182	0	0	0	0
7	182	100	84	56	1
7	182	0	0	0	2
7	182	0	0	0	3
7	183	255	146	76	0
7	183	255	147	76	1
7	183	0	0	0	2
7	183	0	0	0	3
7	184	68	89	183	0
7	184	68	60	86	1
7	184	68	89	183	2
7	185	222	222	199	1
7	186	0	32	19	0
7	186	0	0	0	1
7	186	0	0	0	2
7	187	0	55	0	0
7	187	0	0	0	1
7	187	0	54	19	2
7	188	0	55	0	0
7	188	0	115	0	1
7	188	0	55	0	2
7	189	141	139	132	0
7	190	25	9	49	0
7	191	0	0	0	0
7	191	222	222	199	1
7	192	222	222	199	2
7	194	25	9	49	0
7	195	141	139	132	0
7	196	222	222	199	0
7	197	222	222	199	1
7	199	25	9	49	0
7	199	222	222	199	1
7	200	204	216	229	-1
7	201	140	140	191	-1
7	202	122	147	99	-1
7	203	255	146	76	-1
7	204	68	89	183	0
7	204	82	69	48	1
7	204	0	0	0	2
7	205	141	139	132	0
7	207	90	155	102	0
7	208	111	111	111	0
7	209	229	122	98	2
7	210	111	111	155	1
7	211	155	122	66	0
7	212	204	216	255	0
7	213	114	114	58	0
7	213	114	114	58	2
7	214	122	147	99	0
7	215	255	146	76	2
7	216	68	89	183	1
7	216	82	69	48	2
7	217	222	222	199	1
7	218	90	155	120	0
7	219	229	122	98	2
7	220	229	122	98	2
8	1	255	51	0	-1
8	3	0	127	255	-1
8	4	255	255	255	-1
8	6	153	204	102	-1
8	7	204	178	102	-1
8	9	0	127	255	-1
8	12	0	127	255	-1
8	13	0	204	102	-1
8	14	255	255	255	-1
8	15	229	204	255	-1
8	16	191	165	127	-1
8	17	127	127	204	-1
8	18	255	255	255	-1
8	19	127	127	204	-1
8	20	127	127	204	-1
8	21	204	117	63	-1
8	22	165	114	76	-1
8	23	89	89	153	-1
8	24	204	117	63	-1
8	25	89	89	153	-1
8	26	119	170	153	-1
8	27	191	165	127	-1
8	28	51	76	153	-1
8	29	127	102	76	-1
8	30	94	94	255	-1
8	31	76	178	76	-1
8	32	127	102	255	-1
8	33	114	114	58	-1
8	34	153	127	51	-1
8	35	153	153	153	-1
8	36	76	178	76	-1
8	37	127	153	178	-1
8	38	114	114	58	-1
8	39	51	178	76	-1
8	40	178	76	76	-1
8	41	178	127	76	-1
8	42	127	51	178	-1
8	43	204	102	153	-1
8	44	153	102	204	-1
8	45	127	127	178	-1
8	46	204	102	0	-1
8	47	178	127	178	-1
8	48	255	51	0	-1
8	49	178	102	102	-1
8	50	76	153	102	-1
8	51	178	51	51	-1
8	52	127	127	178	-1
8	53	178	51	51	-1
8	54	204	216	229	-1
8	55	229	0	0	-1
8	56	153	204	102	-1
8	57	229	0	0	-1
8	58	0	127	255	-1
8	59	204	117	63	-1
8	60	204	102	0	-1
8	61	127	102	76	-1
8	73	127	204	229	-1
8	74	204	153	51	-1
8	75	165	76	63	-1
8	76	204	216	229	-1
8	77	255	229	153	-1
8	78	255	51	0	-1
8	79	0	127	255	-1
8	80	255	255	255	-1
8	81	89	89	153	-1
8	82	178	76	76	-1
8	83	204	117	63	-1
8	91	102	178	255	-1
8	92	127	204	165	-1
8	93	229	204	255	-1
8	94	191	255	153	-1
8	95	127	76	25	-1
8	98	204	216	229	-1
8	99	204	216	229	-1
8	100	204	216	229	-1
8	101	204	216	229	-1
8	102	117	124	142	0
8	103	204	216	229	-1
8	104	204	216	229	-1
8	105	204	216	229	-1
8	106	255	146	76	-1
8	107	255	146	76	-1
8	108	255	146	76	-1
8	109	255	146	76	-1
8	110	255	146	76	-1
8	111	255	146	76	-1
8	112	255	146	76	-1
8	113	255	146	76	-1
8	114	255	146	76	-1
8	115	204	216	229	-1
8	116	141	124	58	0
8	117	204	114	51	0
8	117	204	114	51	1
8	118	110	113	217	0
8	119	150	60	61	0
8	119	0	0	0	1
8	119	40	35	88	2
8	119	0	0	0	3
8	120	49	79	51	0
8	121	32	81	61	0
8	121	0	0	0	1
8	121	0	0	0	2
8	122	59	74	112	0
8	123	165	127	51	0
8	123	0	4	0	1
8	123	0	0	0	2
8	124	204	216	229	-1
8	125	110	113	217	0
8	126	204	216	229	-1
8	127	204	216	229	-1
8	128	204	216	229	-1
8	129	204	216	229	-1
8	130	255	51	0	-1
8	131	0	127	255	-1
8	132	255	255	255	-1
8	133	229	204	255	-1
8	134	119	170	153	-1
8	135	178	76	76	-1
8	136	204	102	0	-1
8	138	140	140	191	-1
8	139	76	76	204	-1
8	140	178	153	140	-1
8	141	204	127	178	-1
8	142	114	96	51	-1
8	143	102	153	132	-1
8	144	178	153	102	-1
8	145	165	127	51	-1
8	146	89	165	255	-1
8	147	229	178	114	-1
8	148	127	178	255	-1
8	149	216	153	153	-1
8	150	122	147	99	-1
8	151	122	147	99	-1
8	152	122	147	99	-1
8	153	122	147	99	-1
8	154	122	147	99	-1
8	155	122	147	99	-1
8	156	122	147	99	-1
8	157	122	147	99	-1
8	161	117	124	142	0
8	164	89	68	48	0
8	164	68	89	183	1
8	164	0	0	0	2
8	164	0	0	0	3
8	165	82	69	48	0
8	165	68	89	183	1
8	165	0	0	0	2
8	166	82	69	48	0
8	166	68	89	183	1
8	166	0	0	0	2
8	167	82	69	48	0
8	167	68	89	183	1
8	167	0	0	0	2
8	168	68	69	48	0
8	168	82	69	48	1
8	168	0	0	0	2
8	168	0	0	0	3
8	169	82	69	48	0
8	169	68	89	183	1
8	170	68	89	183	0
8	170	82	69	183	1
8	170	0	0	0	2
8	171	0	0	0	0
8	171	82	69	48	1
8	171	68	89	183	2
8	172	82	69	48	0
8	172	68	89	183	1
8	172	0	0	0	2
8	173	82	69	48	0
8	173	68	89	183	1
8	173	0	0	0	2
8	173	0	0	0	3
8	174	13	0	22	0
8	174	0	0	0	1
8	174	13	0	22	2
8	174	0	0	0	3
8	175	0	0	0	0
8	175	32	19	0	1
8	175	0	0	0	2
8	176	0	55	0	0
8	176	0	0	0	1
8	176	0	55	0	2
8	176	0	0	0	3
8	177	0	0	0	0
8	177	163	43	0	1
8	178	0	0	0	0
8	178	66	66	111	1
8	179	0	0	0	0
8	179	125	11	88	1
8	180	66	66	111	0
8	181	0	0	0	0
8	181	114	96	51	1
8	181	0	0	0	2
8	182	100	84	56	0
8	183	255	146	76	0
8	183	0	0	0	1
8	183	255	146	76	2
8	183	0	0	0	3
8	184	55	55	55	0
8	184	68	89	183	1
8	184	0	0	0	2
8	185	25	9	49	0
8	185	25	9	49	2
8	185	222	222	199	3
8	186	0	0	0	0
8	186	0	31	19	1
8	186	0	0	0	2
8	187	0	55	0	0
8	187	0	54	19	1
8	187	0	55	0	2
8	188	0	55	0	0
8	188	0	0	0	1
8	188	0	55	0	2
8	188	0	0	0	3
8	189	222	222	199	2
8	189	25	9	49	3
8	190	0	0	0	0
8	190	0	0	0	1
8	190	25	9	49	2
8	190	0	0	0	3
8	190	222	222	199	4
8	191	25	9	49	0
8	191	222	222	199	3
8	191	0	0	0	4
8	191	222	222	199	5
8	192	25	9	49	2
8	192	222	222	199	3
8	193	222	222	199	2
8	193	25	9	49	3
8	194	25	9	49	0
8	194	222	222	199	1
8	194	25	9	49	2
8	194	222	222	199	4
8	195	141	139	132	0
8	195	141	139	132	2
8	195	25	9	49	3
8	196	25	9	49	2
8	196	141	139	132	3
8	197	25	9	49	0
8	197	222	222	199	5
8	198	222	222	199	2
8	198	25	9	49	3
8	199	25	9	49	0
8	199	0	0	0	3
8	200	204	216	229	-1
8	201	140	140	191	-1
8	202	122	147	99	-1
8	203	255	146	76	-1
8	204	89	68	48	0
8	204	68	89	183	1
8	204	0	0	0	2
8	204	0	0	0	3
8	205	222	222	199	2
8	205	25	9	49	3
8	207	90	155	101	0
8	208	111	111	111	0
8	209	229	122	98	1
8	209	20	55	111	2
8	210	111	111	155	0
8	211	155	122	66	0
8	212	204	216	229	0
8	213	114	114	58	0
8	214	122	147	99	0
8	214	122	147	99	1
8	215	255	146	76	0
8	216	82	69	48	0
8	216	68	89	183	1
8	217	0	0	0	0
8	217	255	127	0	1
8	217	25	9	49	2
8	217	255	127	0	3
8	217	222	222	199	4
8	218	90	155	120	0
8	219	0	0	0	0
8	219	229	122	98	1
8	220	229	122	98	1
9	1	255	51	0	-1
9	3	0	127	255	-1
9	4	255	255	255	-1
9	6	153	204	102	-1
9	7	204	178	102	-1
9	9	0	127	255	-1
9	12	0	127	255	-1
9	13	0	204	102	-1
9	14	255	255	255	-1
9	15	229	204	255	-1
9	16	191	165	127	-1
9	17	127	127	204	-1
9	18	255	255	255	-1
9	19	127	127	204	-1
9	20	127	127	204	-1
9	21	204	117	63	-1
9	22	165	114	76	-1
9	23	89	89	153	-1
9	24	204	117	63	-1
9	25	89	89	153	-1
9	26	119	170	153	-1
9	27	191	165	127	-1
9	28	51	76	153	-1
9	29	127	102	76	-1
9	30	94	94	255	-1
9	31	76	178	76	-1
9	32	127	102	255	-1
9	33	114	114	58	-1
9	34	153	127	51	-1
9	35	153	153	153	-1
9	36	76	178	76	-1
9	37	127	153	178	-1
9	38	114	114	58	-1
9	39	51	178	76	-1
9	40	178	76	76	-1
9	41	178	127	76	-1
9	42	127	51	178	-1
9	43	204	102	153	-1
9	44	153	102	204	-1
9	45	127	127	178	-1
9	46	204	102	0	-1
9	47	178	127	178	-1
9	48	255	51	0	-1
9	49	178	102	102	-1
9	50	76	153	102	-1
9	51	178	51	51	-1
9	52	127	127	178	-1
9	53	178	51	51	-1
9	54	204	216	229	-1
9	55	229	0	0	-1
9	56	153	204	102	-1
9	57	229	0	0	-1
9	58	0	127	255	-1
9	59	204	117	63	-1
9	60	204	102	0	-1
9	61	127	102	76	-1
9	73	127	204	229	-1
9	74	204	153	51	-1
9	75	165	76	63	-1
9	76	204	216	229	-1
9	77	255	229	153	-1
9	78	255	51	0	-1
9	79	0	127	255	-1
9	80	255	255	255	-1
9	81	89	89	153	-1
9	82	178	76	76	-1
9	83	204	117	63	-1
9	91	102	178	255	-1
9	92	127	204	165	-1
9	93	229	204	255	-1
9	94	191	255	153	-1
9	95	127	76	25	-1
9	98	204	216	229	-1
9	99	204	216	229	-1
9	100	204	216	229	-1
9	101	204	216	229	-1
9	102	117	124	142	0
9	103	204	216	229	-1
9	104	204	216	229	-1
9	105	204	216	229	-1
9	106	255	146	76	-1
9	107	255	146	76	-1
9	108	255	146	76	-1
9	109	255	146	76	-1
9	110	255	146	76	-1
9	111	255	146	76	-1
9	112	255	146	76	-1
9	113	255	146	76	-1
9	114	255	146	76	-1
9	115	204	216	229	-1
9	116	141	124	58	0
9	116	141	124	58	1
9	116	141	124	58	2
9	117	204	114	51	0
9	117	166	73	11	1
9	118	110	113	217	0
9	119	150	60	61	0
9	119	150	60	61	1
9	119	0	0	0	2
9	119	40	35	88	3
9	120	41	79	57	0
9	121	0	0	0	0
9	121	32	81	61	1
9	122	59	74	111	0
9	123	165	127	51	0
9	123	0	0	0	1
9	123	0	0	0	2
9	123	0	0	0	3
9	124	204	216	229	-1
9	125	110	113	217	0
9	126	110	113	217	0
9	127	204	216	229	-1
9	128	204	216	229	-1
9	129	204	216	229	-1
9	130	255	51	0	-1
9	131	0	127	255	-1
9	132	255	255	255	-1
9	133	229	204	255	-1
9	134	119	170	153	-1
9	135	178	76	76	-1
9	136	204	102	0	-1
9	138	140	140	191	-1
9	139	76	76	204	-1
9	140	178	153	140	-1
9	141	204	127	178	-1
9	142	114	96	51	-1
9	143	102	153	132	-1
9	144	178	153	102	-1
9	145	165	127	51	-1
9	146	89	165	255	-1
9	147	229	178	114	-1
9	148	127	178	255	-1
9	149	216	153	153	-1
9	150	122	147	99	-1
9	151	122	147	99	-1
9	152	122	147	99	-1
9	153	122	147	99	-1
9	154	122	147	99	-1
9	155	122	147	99	-1
9	156	122	147	99	-1
9	157	122	147	99	-1
9	161	117	124	142	0
9	164	82	69	48	0
9	164	82	69	48	1
9	164	82	69	48	2
9	165	68	89	183	0
9	165	80	60	40	1
9	165	0	0	0	2
9	165	0	0	0	3
9	165	82	68	48	4
9	166	82	69	48	0
9	166	0	0	0	1
9	166	68	89	183	2
9	166	0	0	0	3
9	166	82	69	48	4
9	167	82	69	48	0
9	167	0	0	0	1
9	167	68	89	183	2
9	167	0	0	0	3
9	167	82	69	48	4
9	168	68	89	183	0
9	168	82	69	48	1
9	168	82	69	48	2
9	168	0	0	0	3
9	169	82	69	48	0
9	169	82	69	48	1
9	169	0	0	0	2
9	169	0	0	0	3
9	169	0	0	0	4
9	170	68	89	183	0
9	170	82	69	48	1
9	170	82	69	48	2
9	170	0	0	0	3
9	171	82	69	48	0
9	171	68	89	183	1
9	171	82	69	48	2
9	171	0	0	0	3
9	171	0	0	0	4
9	172	82	69	48	0
9	172	255	127	0	1
9	172	68	89	183	2
9	172	0	0	0	3
9	172	82	69	48	4
9	173	68	89	183	0
9	173	82	69	48	1
9	173	82	69	48	2
9	173	0	0	0	3
9	174	13	1	22	0
9	175	32	19	0	0
9	176	0	25	0	0
9	177	127	43	0	0
9	177	0	0	0	1
9	178	66	66	111	0
9	178	0	0	0	1
9	179	0	0	0	0
9	179	125	11	88	1
9	180	66	66	111	0
9	181	114	96	51	0
9	181	0	0	0	1
9	181	0	0	0	2
9	182	100	84	56	0
9	183	255	146	76	0
9	184	82	68	48	0
9	184	0	0	0	1
9	184	68	89	183	2
9	184	0	0	0	3
9	184	68	79	113	4
9	185	222	222	199	0
9	185	25	9	49	1
9	186	0	32	19	0
9	187	0	54	19	0
9	188	0	55	0	0
9	189	25	9	49	0
9	189	25	9	49	1
9	189	222	222	199	2
9	190	222	222	199	0
9	190	25	9	49	1
9	190	25	9	49	2
9	191	25	9	49	0
9	191	229	231	255	1
9	192	222	222	199	0
9	192	25	9	49	2
9	193	25	9	49	0
9	193	25	9	49	1
9	193	222	222	199	2
9	194	222	222	199	0
9	194	25	9	49	1
9	194	25	9	49	2
9	194	0	0	0	3
9	194	0	0	0	4
9	195	25	9	49	0
9	195	25	9	49	1
9	195	222	222	199	2
9	195	0	0	0	3
9	195	0	0	0	4
9	196	0	0	0	0
9	196	25	9	49	1
9	197	25	9	49	0
9	197	222	222	199	1
9	198	25	9	49	0
9	198	25	9	49	1
9	198	222	222	199	2
9	199	222	222	199	0
9	199	25	9	49	2
9	200	204	216	229	-1
9	201	140	140	191	-1
9	202	122	147	99	-1
9	203	255	146	76	-1
9	204	82	69	48	0
9	204	82	69	48	1
9	204	82	69	48	2
9	205	25	9	49	0
9	205	25	9	49	1
9	205	222	222	199	2
9	207	90	155	120	0
9	208	111	111	111	0
9	209	25	56	105	0
9	209	229	122	90	1
9	210	111	111	155	0
9	211	155	122	66	0
9	212	204	216	229	0
9	213	114	114	58	0
9	214	82	85	56	0
9	215	255	146	76	0
9	216	68	89	183	0
9	216	82	69	48	1
